variant,simulation_id,ring,radius_mm,groove_overlap,ring_mass_flow_kg_s,ring_mass_flux_kg_m2s,ring_dp_Pa,groove_dp_Pa,outlet_gas_K
apparent_prescribed_v9,E68,6,5.895781148074053,0.0,2.8064902482685145e-5,1.1339354538458646,273.2635180818484,0.0,675.3312907379858
apparent_prescribed_v9,E68,7,6.96774135681479,0.9409271337274929,3.2757185271395344e-5,1.1199037699622345,267.9753511648561,0.0,674.102159579009
apparent_prescribed_v9,E68,8,8.039701565555527,1.0,3.724425468330751e-5,1.1035334720979995,261.87234551645884,0.0,672.6601240955489
apparent_prescribed_v9,E68,9,9.111661774296264,1.0,4.149453942968332e-5,1.084824560253159,254.98418782322864,0.0,671.0003585995197
apparent_prescribed_v9,E68,10,10.183621983037002,1.0,4.547646822178477e-5,1.0637770344277138,247.3441742695727,0.0,669.1165473880061
apparent_prescribed_v9,E69,1,0.5359801043703685,0.0,2.2124269112777464e-6,0.9833008494567762,240.44662522933322,0.0,702.5131941625015
apparent_prescribed_v9,E69,2,1.6079403131111056,0.0,6.6240028528953394e-6,0.9813337559844946,239.69211148167878,0.0,702.2844291918119
apparent_prescribed_v9,E69,3,2.6799005218518426,0.0,1.0995745151699227e-5,0.9773995690399314,238.1867721835867,0.0,701.8264398492464
apparent_prescribed_v9,E69,4,3.7518607305925795,0.0,1.5301098045813613e-5,0.9714982886230863,235.9379497178178,0.0,701.1382670872722
apparent_prescribed_v9,E69,5,4.8238209393333165,0.0,1.9513505773362686e-5,0.9636299147339599,232.95657447643947,0.0,700.2183716030755
apparent_prescribed_v9,E69,6,5.895781148074053,0.0,2.3606412572470654e-5,0.9537944473725518,229.25707014661523,0.0,699.0645125864446
apparent_prescribed_v9,E69,7,6.96774135681479,0.9409271337274929,2.75532626812617e-5,0.941991886538862,224.8572357402884,0.0,697.6735853081141
apparent_prescribed_v9,E69,8,8.039701565555527,1.0,3.1327500337860085e-5,0.9282222322328907,219.77811114751879,0.0,696.0414167057785
apparent_prescribed_v9,E69,9,9.111661774296264,1.0,3.490256978038989e-5,0.9124854844546377,214.04383433941484,0.0,694.162517739299
apparent_prescribed_v9,E69,10,10.183621983037002,1.0,3.825191524697542e-5,0.8947816432041032,207.6814996073365,0.0,692.0297909607225
apparent_prescribed_v9,E70,1,0.5359801043703685,0.0,1.916664798019399e-6,0.8518510213419551,207.0039838212731,0.0,719.325887680114
apparent_prescribed_v9,E70,2,1.6079403131111056,0.0,5.738491529553956e-6,0.8501468932672525,206.36035416460308,0.0,719.078183153735
apparent_prescribed_v9,E70,3,2.6799005218518426,0.0,9.52580966757578e-6,0.8467386371178472,205.07616928574933,0.0,718.5822657608085
apparent_prescribed_v9,E70,4,3.7518607305925795,0.0,1.3255613483076401e-5,0.8416262528937396,203.15755034895454,0.0,717.8370782700202
apparent_prescribed_v9,E70,5,4.8238209393333165,0.0,1.6904897247047317e-5,0.8348097405949293,200.61361134302962,0.0,716.840933318146
apparent_prescribed_v9,E70,6,5.895781148074053,0.0,2.045065523048005e-5,0.8262891002214163,197.45638193232227,0.0,715.5913911610696
apparent_prescribed_v9,E70,7,6.96774135681479,0.9409271337274929,2.386988170436611e-5,0.8160643317732007,193.70071137878557,0.0,714.0850958465384
