evaluation,objective,primary_rmse_K,t2_rmse_K,side_transient_loss,felt_transient_loss,guard_transient_loss,side_final_loss,felt_final_loss,skin_felt_contact_scale,felt_conductivity_scale,felt_heat_capacity_scale
19,2.5714775435261963,27.83475895664554,17.936405297561574,0.7557498203264877,1.4298428222150883,1.5893026504309862,0.21794101212909875,0.013210336298466272,1.0,0.6,0.75
20,4.9216096410653325,27.115392453519632,28.072475925663877,0.5858269733432871,3.502506242653235,1.263967312078245,0.3750664218451741,2.3398151804980434,1.0,0.6,1.5
21,7.890283855165185,29.050323884760182,34.46106946263492,0.5954067925794074,5.278068037815773,1.0397484960978431,0.7799846961159508,7.874319583578257,1.0,0.6,3.0
22,1.991043799334032,26.302837414346666,14.15618473214603,0.6984923695269591,0.8906558496473084,1.432792677708328,0.29597688491088486,0.13271989572416854,1.0,1.2,0.75
23,2.5230865534767615,23.852036696520088,19.271045084428827,0.5181783509231227,1.650547460649282,1.0026288377441017,0.4297926054748446,0.12448596356541548,1.0,1.2,1.5
24,5.730482180177754,28.670627321452958,30.079764919477945,0.6484972044657207,4.021298922715806,0.7093854104430779,0.9067487021414372,3.233921801325901,1.0,1.2,3.0
25,1.9464851809711534,26.235325608378727,13.479338832826127,0.6997215411538709,0.8075225572005974,1.3589170614136645,0.490372710701204,0.10172928561795477,1.0,2.4,0.75
26,1.7874069037818,23.45354756981546,14.155002220944164,0.5441936017859734,0.89050705722193,0.8783643902661846,0.5799134850941877,0.01529660596201544,1.0,2.4,1.5
27,3.5726857656559154,29.447007398151673,22.399401104474713,0.8072848459831442,2.22992519928508,0.5380310097925225,0.9919600043996771,0.6514075855464184,1.0,2.4,3.0
28,2.069213115848619,24.634242398946007,16.03913863457904,0.5905114628954748,1.1433509695077597,1.1236139973401926,0.3598543206966734,0.013357938841719631,3.0,0.6,0.75
29,3.9190478023911144,25.706621218399697,25.045260846341762,0.5485867774160028,2.787844848272443,0.6820282153632616,0.5876825680512439,1.3495288160732122,3.0,0.6,1.5
30,7.599346721189232,35.58155398316175,32.62792228329075,1.0883283327624906,4.731472500108717,0.521916366228533,1.2902877924110723,6.4403813867449795,3.0,0.6,3.0
31,1.902117971095605,24.625189159978333,14.070166489384501,0.606157872005404,0.8798648223955495,1.020222200859116,0.5923195686865306,0.17177482958434515,3.0,1.2,0.75
32,2.369398551079182,26.4041160932546,17.32591696333266,0.6771488402840732,1.3341662160902152,0.5767881825038622,0.790394958152134,0.028036853792405156,3.0,1.2,1.5
33,5.936282994332887,40.35505159162325,27.53699299487118,1.566213543578425,3.3701599253314867,0.4975863547451249,1.5242498810901888,2.2155864507344747,3.0,1.2,3.0
34,2.0645727364904274,26.388261854491034,13.523366099907928,0.7081578296959478,0.81280635854284,1.053833892840804,1.040697301815061,0.10316289569480092,3.0,2.4,0.75
35,2.1632720609528784,28.581466737207048,13.702182057927988,0.8380547402045408,0.8344435251049053,0.6389544042947418,1.1910192846270002,0.028385646981921156,3.0,2.4,1.5
36,4.5471301534428985,43.0758682486533,20.639854857568338,1.903705603526493,1.8933493712954992,0.6103310142964252,1.8111858143548691,0.4232661572758023,3.0,2.4,3.0
37,1.961201661744525,25.08203043659734,14.929383407530493,0.6240942896219144,0.9906066174624303,0.8647217118986751,0.5505817695416622,0.041909407089733786,10.0,0.6,0.75
38,3.733361637377861,30.854484447574517,22.895771850792343,0.8935457070636558,2.3298505273046,0.4376750791003691,0.8100903712432984,0.8970163790827078,10.0,0.6,1.5
39,8.26184271192398,48.80709149659315,31.004628024613496,2.3312222482945884,4.272386484198439,0.5367277427050422,1.565072616058453,5.406833230362044,10.0,0.6,3.0
40,2.0458884543118483,26.21958092322319,13.844584615451137,0.6961069855737175,0.8518778807750501,0.8473929453043638,0.9814506444433736,0.16994902784597835,10.0,1.2,0.75
41,2.741445506108457,32.754412413514146,16.242126639198474,1.0959454292393247,1.172474123394492,0.5045260953402867,1.2297381219901395,0.015996489047704662,10.0,1.2,1.5
42,6.944750677518509,52.726861890114996,25.87068164292318,2.8438627729109016,2.974631860753255,0.7652236603995574,2.091546222929044,1.7287372244786348,10.0,1.2,3.0
43,2.4227948886232795,29.744502322348982,13.28525197001022,0.9149506812816965,0.7844351995851574,1.032359043977208,1.6613553670946726,0.09265294416290894,10.0,2.4,0.75
44,2.8278370653416993,35.35116833612743,13.40687288546754,1.311313243632596,0.7988632914092654,0.7434564022421609,1.8741827447174713,0.03357213218081853,10.0,2.4,1.5
45,5.845179562891731,53.74899865738145,19.75487127113467,3.0382488402029035,1.7344663952848978,1.0344322661150678,2.64299502559151,0.36339683251731586,10.0,2.4,3.0
