phase,simulation_id,sensor,rmse_K,steady_error_K,t90_error_s
heating_validation,E73,T9,182.26536048558182,-199.13098999309068,-350.0
heating_validation,E73,T10,83.62705812291847,-110.90024076377574,-1250.0
heating_validation,E73,T3,54.68141306346254,-76.99488355601704,-1300.0
heating_validation,E73,T2,7.11059542659663,5.41856962746283,-750.0
heating_training,E74,T8,142.18226133878218,-135.88897940454285,100.0
heating_training,E74,T12,165.84276502270717,-171.91708718569134,-100.0
heating_training,E74,T11,53.42279842500662,-69.29544298448423,-950.0
heating_training,E74,T9,129.96686791328702,-141.73290216025282,-450.0
heating_training,E74,T10,52.491780112472966,-27.579557491070773,-1450.0
heating_training,E74,T3,68.1020177657338,15.490427342263274,-1550.0
heating_training,E74,T2,14.913023558090105,11.651420250635567,-950.0
heating_validation,E75,T8,90.56327888775408,-83.90033369016783,100.0
heating_validation,E75,T12,92.57050130483933,-99.17661594838887,-250.0
heating_validation,E75,T11,48.13823208127529,16.08492068837245,-1150.0
heating_validation,E75,T9,61.83930678626652,-69.87233419519407,-600.0
heating_validation,E75,T10,97.65139355750443,53.58887404711777,-1550.0
heating_validation,E75,T3,128.91597559684325,95.82023257369576,-1550.0
heating_validation,E75,T2,21.498521770504386,20.27961547825197,-1000.0
heating_training,E76,T8,29.95379937658121,34.07858761115449,50.0
heating_training,E76,T12,43.94959918786957,40.3024240062997,-400.0
heating_training,E76,T11,156.27235170899857,151.56596741586543,-1100.0
heating_training,E76,T9,81.67877758501187,68.11016448121552,-650.0
heating_training,E76,T10,199.52283507490756,183.58113251123143,-1450.0
heating_training,E76,T3,224.46686574524443,218.23388137210566,-1400.0
heating_training,E76,T2,33.766470755821636,36.475311257987414,-1200.0
heating_training,E77,T8,64.83084986419452,-74.53041775504141,-300.0
heating_training,E77,T12,124.04170542876085,-136.43875921103916,-250.0
heating_training,E77,T11,86.610360322881,-105.11270131752462,-550.0
heating_training,E77,T9,96.3847094421754,-114.28246335293198,-600.0
heating_training,E77,T10,50.801085325075654,-71.91055865961027,-1050.0
heating_training,E77,T3,41.54006052979602,-62.774405331778155,-950.0
heating_training,E77,T2,6.125582346805633,1.8028973215120914,-441.0
heating_validation,E78,T8,67.03059175687984,-75.35475651089166,-300.0
heating_validation,E78,T12,123.9386331941277,-139.37942846660542,-350.0
heating_validation,E78,T11,70.49453589716579,-90.78527897017386,-1050.0
heating_validation,E78,T9,97.2847359138685,-115.7694340421532,-750.0
heating_validation,E78,T10,43.699821469858186,-59.70527017332711,-1500.0
heating_validation,E78,T3,31.579097256911698,-42.26492916927941,-1450.0
heating_validation,E78,T2,6.88159207314053,6.010940759457242,-600.0
heating_training,E79,T8,62.295345268791316,-69.73990829105253,-300.0
heating_training,E79,T12,113.20801637424111,-127.51348035371598,-350.0
heating_training,E79,T11,49.05202411100917,-67.24749013428652,-950.0
heating_training,E79,T9,86.40233253501974,-103.77439706752386,-750.0
heating_training,E79,T10,32.76860697993138,-37.654744154988634,-1400.0
heating_training,E79,T3,29.030184126780476,-16.824596098836082,-1400.0
heating_training,E79,T2,7.740148096577911,8.116720355102927,-850.0
heating_validation,E80,T8,48.13608009401958,-53.74928479347898,-300.0
heating_validation,E80,T12,92.85183331980352,-105.93210421723688,-450.0
heating_validation,E80,T11,27.51687915151795,-38.511620928145135,-1050.0
heating_validation,E80,T9,67.03790516314596,-81.88841309434838,-800.0
heating_validation,E80,T10,35.80817709221239,-10.492662981095236,-1450.0
heating_validation,E80,T3,45.5521339793738,12.427691029748985,-1400.0
heating_validation,E80,T2,10.936529044881377,10.74744084394166,-900.0
heating_training,E81,T8,6.967002201438887,-0.4331457938759513,-250.0
heating_training,E81,T12,37.65322164008917,-42.03743415562076,-400.0
heating_training,E81,T11,42.412171893876305,28.7119300866284,-950.0
heating_training,E81,T9,22.799000688588265,-18.13357321340243,-650.0
heating_training,E81,T10,74.78823203517092,53.91423134681429,-1250.0
heating_training,E81,T3,91.88068923431004,77.13970539501736,-1250.0
heating_training,E81,T2,14.477474585639262,16.97032717474366,-850.0
cooling_validation,C69,T8,44.309209028088944,8.054405576901615,-50.0
cooling_validation,C69,T12,23.072636835320225,18.05222003447193,-250.0
cooling_validation,C69,T11,25.247671380728853,48.237229878334745,-550.0
cooling_validation,C69,T9,62.142398673905895,9.854491616049813,-600.0
cooling_validation,C69,T10,55.01699304211517,32.26515576861061,-850.0
cooling_validation,C69,T3,44.6895032643663,53.69162320607455,-750.0
cooling_validation,C69,T2,21.98329750184754,1.371583687374482,-100.0
cooling_validation,C80,T8,15.388400723605033,14.990787084634746,-450.0
cooling_validation,C80,T12,14.8831587211101,23.640786934729363,-700.0
cooling_validation,C80,T11,23.46345523258318,41.92895541246281,-850.0
cooling_validation,C80,T9,32.41477770266375,21.600250015066365,-950.0
cooling_validation,C80,T10,27.721325485958733,37.19492253943372,-1000.0
cooling_validation,C80,T3,30.36445323798803,47.60003636263292,-1000.0
cooling_validation,C80,T2,12.767107689744998,1.5741570911853842,-350.0
cooling_validation,C81,T8,23.21748052339257,28.342046482545527,-450.0
cooling_validation,C81,T12,26.701164508029525,41.053098933687295,-950.0
cooling_validation,C81,T11,39.63740038435082,59.56199621882405,-850.0
cooling_validation,C81,T9,32.661617814758706,39.45578351443453,-1150.0
cooling_validation,C81,T10,38.00061751846626,56.5585473209718,-950.0
cooling_validation,C81,T3,46.87069592795431,66.41428991621552,-950.0
cooling_validation,C81,T2,11.342816058955963,3.981995025513811,-700.0
