stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,side_solid_fraction,side_gas_heat_fraction,active_side_conductance_W_K_m,side_felt_contact_h_W_m2K,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
heating_shape,64,8.232194868315592,1.3897458862311582,2.455456972972966,2.33328177211999,7.832747351429721,0.5121300531672864,0.3,0.045,10.0,5.0,150.0,0.75,1.25,1.05,0.77
heating_shape,65,8.138152881454166,1.392163575878992,2.450663555283627,2.351835768800634,7.4232385306849755,0.5121300531672864,0.3,0.045,10.0,5.0,150.0,1.2,1.25,1.05,0.77
heating_shape,66,8.095154836266955,1.3899743101635282,2.441585455766701,2.3592913413265677,7.259009502666406,0.5121300531672864,0.3,0.045,10.0,5.0,150.0,1.8,1.25,1.05,0.77
heating_shape,67,8.857188886812043,1.3857101810479617,2.461939762024775,2.3380641421291086,9.899118457931142,0.5121300531672864,0.3,0.045,10.0,5.0,250.0,0.75,1.25,1.05,0.77
heating_shape,68,8.754082735577546,1.3869812564822397,2.4545384485077677,2.3553486564084904,9.472173111155325,0.5121300531672864,0.3,0.045,10.0,5.0,250.0,1.2,1.25,1.05,0.77
heating_shape,69,8.708562771803818,1.384068276341481,2.4434492325711563,2.362096226680966,9.307501196952991,0.5121300531672864,0.3,0.045,10.0,5.0,250.0,1.8,1.25,1.05,0.77
heating_shape,70,9.133807754255132,1.3835088926487509,2.463958171905178,2.337812209669016,10.827760229825534,0.5121300531672864,0.3,0.045,10.0,5.0,400.0,0.75,1.25,1.05,0.77
heating_shape,71,9.030138181897312,1.3842178657337199,2.454881127439811,2.354940917452091,10.403265250566234,0.5121300531672864,0.3,0.045,10.0,5.0,400.0,1.2,1.25,1.05,0.77
heating_shape,72,8.985907806604546,1.3809336995024062,2.443301622346153,2.3616720429922675,10.244701764420832,0.5121300531672864,0.3,0.045,10.0,5.0,400.0,1.8,1.25,1.05,0.77
heating_shape,73,15.493139399006576,1.6005157453277816,2.940293194423693,4.041013769686657,21.737618039585335,0.8554592578921981,0.45,0.0675,2.0,5.0,75.0,0.75,1.25,1.05,0.77
heating_shape,74,15.301732374214257,1.6014460360794844,2.9348406133083693,3.986312178373426,21.375454192120078,0.8554592578921981,0.45,0.0675,2.0,5.0,75.0,1.2,1.25,1.05,0.77
heating_shape,75,15.215145198059385,1.6006180806190968,2.9291659150229616,3.9622891226626575,21.21538009997772,0.8554592578921981,0.45,0.0675,2.0,5.0,75.0,1.8,1.25,1.05,0.77
heating_shape,76,18.439218981364387,1.7575842220617905,3.2889397953362485,3.7502480434584005,32.13950375522674,0.8554592578921981,0.45,0.0675,2.0,5.0,150.0,0.75,1.25,1.05,0.77
heating_shape,77,18.261792506744133,1.7577694572634404,3.281220213430323,3.7152593847237765,31.730127598066108,0.8554592578921981,0.45,0.0675,2.0,5.0,150.0,1.2,1.25,1.05,0.77
heating_shape,78,18.18475621626511,1.7564332251121293,3.274413839241556,3.7011141610525615,31.55532656285191,0.8554592578921981,0.45,0.0675,2.0,5.0,150.0,1.8,1.25,1.05,0.77
heating_shape,79,19.714088980511033,1.8239706611114406,3.4337839693239958,3.6644809291502787,36.45177368643625,0.8554592578921981,0.45,0.0675,2.0,5.0,250.0,0.75,1.25,1.05,0.77
heating_shape,80,19.546556741764668,1.8243906039174496,3.425708421654676,3.6360661790940565,36.042082379212104,0.8554592578921981,0.45,0.0675,2.0,5.0,250.0,1.2,1.25,1.05,0.77
heating_shape,81,19.476284418945212,1.8230846010982984,3.419069108916019,3.62539730766379,35.87217831576775,0.8554592578921981,0.45,0.0675,2.0,5.0,250.0,1.8,1.25,1.05,0.77
heating_shape,82,20.20173657678573,1.8457025683494725,3.4822740614129284,3.6243527460054943,38.15697680686013,0.8554592578921981,0.45,0.0675,2.0,5.0,400.0,0.75,1.25,1.05,0.77
heating_shape,83,20.042178183849114,1.8462500730227183,3.474114232829816,3.5995758170191525,37.75533495500875,0.8554592578921981,0.45,0.0675,2.0,5.0,400.0,1.2,1.25,1.05,0.77
heating_shape,84,19.975752574890578,1.844984616986314,3.467357557467254,3.5901237365175516,37.59215152313887,0.8554592578921981,0.45,0.0675,2.0,5.0,400.0,1.8,1.25,1.05,0.77
heating_shape,85,7.164634646085788,1.4532526358062174,2.521700160743327,2.0367654397647765,5.427965113260175,0.5426685368627098,0.45,0.0675,10.0,5.0,75.0,0.75,1.25,1.05,0.77
heating_shape,86,7.1030229126186315,1.4595271466504787,2.5252975942284897,2.0633594538480424,5.065110128320626,0.5426685368627098,0.45,0.0675,10.0,5.0,75.0,1.2,1.25,1.05,0.77
heating_shape,87,7.071764464940466,1.4599415803652087,2.5219011743862394,2.0745533171472266,4.906960960357299,0.5426685368627098,0.45,0.0675,10.0,5.0,75.0,1.8,1.25,1.05,0.77
heating_shape,88,8.686615504286992,1.4315761153418687,2.5186347140027676,2.0990407025040287,10.265178841856315,0.5426685368627098,0.45,0.0675,10.0,5.0,150.0,0.75,1.25,1.05,0.77
heating_shape,89,8.587467027435109,1.4348406427341074,2.5157977818714645,2.1242613708471065,9.80053575145849,0.5426685368627098,0.45,0.0675,10.0,5.0,150.0,1.2,1.25,1.05,0.77
heating_shape,90,8.541399615575319,1.4336398329412618,2.508385090297807,2.135009077595816,9.604654569065453,0.5426685368627098,0.45,0.0675,10.0,5.0,150.0,1.8,1.25,1.05,0.77
heating_shape,91,9.431131400459105,1.435649895058683,2.54167621718657,2.1066926370357937,12.67201805419802,0.5426685368627098,0.45,0.0675,10.0,5.0,250.0,0.75,1.25,1.05,0.77
heating_shape,92,9.323908592300594,1.43799500615268,2.5362931425009685,2.131415362160608,12.188561105751187,0.5426685368627098,0.45,0.0675,10.0,5.0,250.0,1.2,1.25,1.05,0.77
heating_shape,93,9.27573347789986,1.4361695723110433,2.5278903968808772,2.141824791611341,11.99041776892063,0.5426685368627098,0.45,0.0675,10.0,5.0,250.0,1.8,1.25,1.05,0.77
heating_shape,94,9.754738087513447,1.4362496044366582,2.54978470236974,2.1080407584122365,13.733858887720519,0.5426685368627098,0.45,0.0675,10.0,5.0,400.0,0.75,1.25,1.05,0.77
heating_shape,95,9.645511588588517,1.4381538876994828,2.5430997591665396,2.131786908887838,13.251377137919874,0.5426685368627098,0.45,0.0675,10.0,5.0,400.0,1.2,1.25,1.05,0.77
heating_shape,96,9.598714708868078,1.4359189189869719,2.5332775588767436,2.142531547597651,13.058936441300837,0.5426685368627098,0.45,0.0675,10.0,5.0,400.0,1.8,1.25,1.05,0.77
heating_shape,97,55.672322410859344,2.7120446910553984,5.5305497102547045,23.856982440457532,45.86257136316926,3.513735474180906,0.3,0.0,0.2,5.0,75.0,0.75,1.25,1.05,0.77
heating_shape,98,55.20779842168988,2.715429477431316,5.529758283830642,23.563580288354647,45.77067763162315,3.513735474180906,0.3,0.0,0.2,5.0,75.0,1.2,1.25,1.05,0.77
heating_shape,99,54.97447186083082,2.7162061866848917,5.527668800211842,23.416578755314262,45.72743054673509,3.513735474180906,0.3,0.0,0.2,5.0,75.0,1.8,1.25,1.05,0.77
heating_shape,100,55.79167166441628,3.0087146314280617,6.1281463984052245,20.52095679114057,61.35403396555117,3.513735474180906,0.3,0.0,0.2,5.0,150.0,0.75,1.25,1.05,0.77
heating_shape,101,55.40240918684956,3.0130365213351453,6.128467317753876,20.279990440523346,61.24659690770929,3.513735474180906,0.3,0.0,0.2,5.0,150.0,1.2,1.25,1.05,0.77
heating_shape,102,55.19864439180839,3.0139299380220583,6.125926997851184,20.15395746032105,61.19710808952985,3.513735474180906,0.3,0.0,0.2,5.0,150.0,1.8,1.25,1.05,0.77
heating_shape,103,55.9336738373595,3.104290716231505,6.31404754651867,19.371166372599998,67.07183853727314,3.513735474180906,0.3,0.0,0.2,5.0,250.0,0.75,1.25,1.05,0.77
heating_shape,104,55.56704882014342,3.108945053510943,6.314103125819338,19.14616149265034,66.95920950940236,3.513735474180906,0.3,0.0,0.2,5.0,250.0,1.2,1.25,1.05,0.77
heating_shape,105,55.37822397459439,3.109764427011776,6.311478456857281,19.03055408574713,66.90772381604759,3.513735474180906,0.3,0.0,0.2,5.0,250.0,1.8,1.25,1.05,0.77
heating_shape,106,55.67365180349223,3.120106244581315,6.338153487690257,18.794286923354182,69.01267130160701,3.513735474180906,0.3,0.0,0.2,5.0,400.0,0.75,1.25,1.05,0.77
heating_shape,107,55.32411033327903,3.124752364131815,6.3382559044833515,18.581328023409572,68.89673808532467,3.513735474180906,0.3,0.0,0.2,5.0,400.0,1.2,1.25,1.05,0.77
heating_shape,108,55.140739096774375,3.1255316794088177,6.335248284352914,18.469658601446344,68.84425764266572,3.513735474180906,0.3,0.0,0.2,5.0,400.0,1.8,1.25,1.05,0.77
power,1,5.525448843421244,1.859998198195648,3.641379333797703,1.4037282524203596,0.8296083894046203,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.0625,0.8925,0.6545
power,2,5.388165545606152,1.7698782865689662,3.398313231670613,1.4131353271152944,0.8684278307623363,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.0625,0.8925,0.77
power,3,5.398562051411945,1.7693996813030584,3.3430871753815112,1.4228088112873747,0.9115368364300376,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.0625,0.8925,0.8855
power,4,5.106174570916652,1.5990957312593705,3.0436072104658396,1.4217274445028059,0.8094785337632013,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.0625,1.05,0.6545
power,5,4.96889127310156,1.5089758196326892,2.8005411083387504,1.4311345191977407,0.8482979751209173,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.0625,1.05,0.77
power,6,4.979287778907353,1.5084972143667814,2.7453150520496488,1.4408080033698212,0.8914069807886187,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.0625,1.05,0.8855
power,7,4.985644161435463,1.522366987221066,2.8168063275767903,1.43987868094792,0.7995176829504018,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.0625,1.2075,0.6545
power,8,4.848360863620373,1.4322470755943846,2.5737402254497006,1.4492857556428553,0.8383371243081178,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.0625,1.2075,0.77
power,9,4.858757369426165,1.431768470328477,2.518514169160599,1.4589592398149354,0.8814461299758192,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.0625,1.2075,0.8855
power,10,5.371835579499441,1.7570059998744063,3.322615925256215,1.4380461054038822,0.8080456476932911,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.25,0.8925,0.6545
power,11,5.23455228168435,1.666886088247725,3.079549823129126,1.447453180098817,0.8468650890510071,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.25,0.8925,0.77
power,12,5.244948787490144,1.6664074829818174,3.0243237668400242,1.4571266642708975,0.8899740947187085,0.4371238992687189,0.025,0.0125,100.0,5.0,150.0,1.8,1.25,0.8925,0.8855
