phase,simulation_id,time_s,model_T8_K,observed_T8_K,model_T12_K,observed_T12_K,model_T11_K,observed_T11_K,model_T9_K,observed_T9_K,model_T10_K,observed_T10_K,model_T3_K,observed_T3_K,model_T2_K,observed_T2_K
heating_training,E67,750.0,769.2627807863316,955.7379999999999,740.770385807244,972.053,670.8430661103537,753.972,766.9863778584753,936.941,708.7023819877801,673.497,651.0290088862275,562.942,301.1401714627791,294.496
heating_training,E67,800.0,772.4415299107319,959.4789999999999,745.913731178501,977.4549999999999,676.7459712846842,763.094,768.5355847271941,942.962,711.0397206215288,682.845,656.8593718438434,574.229,302.56432078989997,294.692
heating_training,E67,850.0,775.0064108905345,961.689,750.138007263524,982.935,681.6596408504205,772.385,769.8842696602775,949.114,713.0387688415424,692.27,661.7219094102574,586.5219999999999,304.0440214181534,294.95399999999995
heating_training,E67,900.0,777.0995239762397,962.116,753.6553761969603,986.364,685.7884146795253,780.284,771.1331459544258,953.384,714.8175547086222,700.508,665.8135334860763,596.6769999999999,305.56088831454986,295.22999999999996
heating_training,E67,950.0,778.7733989102876,963.689,756.6006990266602,989.629,689.2983551709553,787.754,772.2483296410177,957.206,716.4481748882058,708.5129999999999,669.3019889367505,606.607,307.0985507601332,295.532
heating_training,E67,1000.0,780.1391591229315,965.2819999999999,759.0710126314827,994.1569999999999,692.297850426563,794.189,773.2172571722247,961.788,717.9083621172801,715.48,672.2935934705455,614.825,308.6423804465544,295.83
heating_training,E67,1050.0,781.2376773852865,963.408,761.1628009993923,997.732,694.883191108617,801.0699999999999,774.0831290653543,964.0079999999999,719.2373338549351,723.037,674.8821624258824,622.938,310.17985035149826,296.166
heating_training,E67,1100.0,782.1648130490644,963.127,762.9437545649981,998.2529999999999,697.1232039580682,807.693,774.8589775115379,966.021,720.4286521126926,730.351,677.1329880540618,631.546,311.7005865064906,296.543
heating_training,E67,1150.0,782.9493336741077,960.8299999999999,764.4910346769494,997.732,699.0876714056911,812.467,775.6057725430007,966.443,721.5365316412524,735.948,679.112528188301,638.8399999999999,313.195998469525,296.935
heating_training,E67,1200.0,783.6065073010736,959.7379999999999,765.8398866842512,997.293,700.830444638145,816.3919999999999,776.2882996204379,966.6179999999999,722.576702199042,740.795,680.8762243328358,645.547,314.65927851449,297.36499999999995
heating_training,E67,1250.0,784.1730510502863,959.459,767.0242883454476,998.155,702.3869903415715,820.221,776.9158968681072,967.732,723.5437779096491,745.568,682.4584992237111,651.79,316.08516862253464,297.842
heating_training,E67,1300.0,784.648581866586,958.593,768.073196270589,999.324,703.7913454008333,824.156,777.4943528680251,969.259,724.456812993673,750.065,683.8935407853025,657.969,317.46988412391903,298.337
heating_training,E67,1350.0,785.0866739639181,959.971,769.0087111724732,1000.691,705.0628048225406,827.909,778.0353063555435,970.793,725.3003459407928,754.442,685.1983153366104,663.902,318.810795841899,298.86499999999995
heating_training,E67,1400.0,785.5053532227291,961.14,769.8700618540184,1001.857,706.2292554167822,831.9259999999999,778.5940017136277,972.268,726.1103157095811,758.939,686.3975921115374,670.017,320.10617779021396,299.448
heating_training,E67,1450.0,785.8567958295388,959.132,770.6614415546914,1002.353,707.3182667901982,835.31,779.1182889362743,973.086,726.9144913651756,763.0429999999999,687.5231403103048,675.245,321.35512636463454,300.01399999999995
heating_training,E67,1500.0,786.1663500642147,960.8729999999999,771.3737918855734,1003.879,708.3301327358872,838.6809999999999,779.5701006635791,974.5799999999999,727.6646953482709,767.0519999999999,688.5764350582618,680.717,322.55729429638654,300.644
heating_training,E67,1550.0,786.4390586955363,960.36,772.0243181725098,1003.5219999999999,709.2714328824231,841.977,779.990525496184,974.894,728.367010127328,770.9179999999999,689.5618689686831,685.712,323.71287501852976,301.243
heating_training,E67,1600.0,786.707894363535,958.961,772.6239822607005,1003.0849999999999,710.1488105232162,844.481,780.3943280299897,974.788,729.021604739133,774.1279999999999,690.4840296956727,690.2339999999999,324.8224385282118,301.84999999999997
heating_training,E67,1650.0,786.9193729084064,957.069,773.1807498853962,1002.448,710.9788447097761,846.79,780.7730667251337,974.446,729.6657605490742,777.208,691.361534795676,694.6769999999999,325.88678887937715,302.51099999999997
heating_training,E67,1700.0,787.1556381368139,955.092,773.6909793916623,1000.703,711.7527108701761,848.728,781.1215137959698,973.215,730.2448829723251,779.741,692.1828457982917,698.333,326.9068384216046,303.11699999999996
heating_training,E67,1750.0,787.3157458080917,954.569,774.1737648207026,999.749,712.493882392474,850.108,781.4622543264697,972.321,730.8377093215494,781.96,692.9739860858715,701.8389999999999,327.88371306646854,303.736
heating_training,E67,1800.0,787.4674094456428,954.257,774.5962112188249,999.802,713.1860075531339,851.733,781.7133742202697,972.346,731.3590996562252,784.309,693.7200557997926,705.354,328.8186755415152,304.39799999999997
heating_training,E67,1850.0,787.6043911147187,955.423,774.993486836341,1000.2869999999999,713.8361385169916,853.41,781.980579540526,972.794,731.8511716014257,786.5849999999999,694.4235565151719,708.4549999999999,329.7130895984935,305.012
heating_training,E67,1900.0,787.7533178066086,956.5889999999999,775.3658024947293,1001.2049999999999,714.4511100371556,855.321,782.2433794903587,973.619,732.3183318249955,788.891,695.0914088181022,711.199,330.568488830687,305.64099999999996
heating_training,E67,1950.0,787.8647319442463,955.79,775.7196004657184,1002.038,715.0442663535005,857.5169999999999,782.4983285221006,974.564,732.7941947099716,791.4449999999999,695.7392132793049,714.434,331.3865605534164,306.32899999999995
heating_training,E67,2000.0,787.9649383775544,954.0029999999999,776.0375483201251,1001.9,715.6081563943023,859.3389999999999,782.7013387473405,974.6419999999999,733.2345282690451,793.648,696.360739712735,717.367,332.169060545144,306.96999999999997
heating_training,E67,2050.0,788.0687629608898,952.7099999999999,776.3381344613106,1001.518,716.1437506792074,860.814,782.9116766052838,974.4119999999999,733.649878697738,795.635,696.9537016204445,720.104,332.91767111693866,307.613
heating_training,E67,2100.0,788.1907783154394,953.5169999999999,776.6306942674238,1001.712,716.6581929406874,862.091,783.1401366943443,974.4929999999999,734.0554043550064,797.485,697.5239610236247,722.6320000000001,333.63408056643516,308.293
heating_training,E67,2150.0,788.3141853756574,954.617,776.9217875952238,1001.542,717.1608601698783,863.542,783.3854059913882,974.592,734.4702427050338,799.309,698.0814083640211,724.988,334.31985290997,308.94
heating_training,E67,2200.0,788.4260156509091,952.0889999999999,777.202002984587,1001.03,717.6531172462812,864.771,783.61215465398,974.2049999999999,734.8838446353726,801.012,698.6294447599493,727.544,334.97648344230674,309.602
heating_training,E67,2250.0,788.540453286648,952.5509999999999,777.4699286835389,1000.208,718.1301810030565,865.6659999999999,783.8252869747241,973.494,735.2778856595944,802.425,699.1624919556708,729.6089999999999,335.60530993083,310.21799999999996
heating_training,E67,2300.0,788.6389295291235,950.836,777.7274679660611,999.5509999999999,718.5949248643443,866.4019999999999,784.0279069567497,972.929,735.6650031827231,803.709,699.6838985746062,731.569,336.20766197066416,310.83
heating_training,E67,2350.0,788.7646815852702,950.7719999999999,777.9761177744062,999.535,719.042354588988,867.215,784.2317126017564,972.891,736.0254735562017,805.009,700.1866887676015,733.453,336.7848793105381,311.46799999999996
heating_training,E67,2400.0,788.8809623687719,949.99,778.2290324785031,999.3349999999999,719.4840224562097,868.174,784.4577268174259,972.744,736.4005117264056,806.313,700.6825155787581,735.324,337.3382349217031,312.058
heating_training,E67,2450.0,788.9388422826356,948.415,778.456177384678,998.304,719.9191900978492,868.793,784.613043202985,971.823,736.7731219104888,807.472,701.1768211720552,736.95,337.8689466630913,312.635
heating_training,E67,2500.0,788.9858490071892,949.93,778.64665793557,998.3,720.3280679722866,869.323,784.7070855627665,971.576,737.0865046304508,808.4359999999999,701.6481172459697,738.574,338.3781630057491,313.253
heating_training,E67,2550.0,789.0556456834893,950.8629999999999,778.8284924407167,999.054,720.7120799016411,870.217,784.8297668211474,972.1469999999999,737.3680363073241,809.571,702.0922659293244,740.123,338.8670477834615,313.80899999999997
heating_training,E67,2600.0,789.1385441179926,951.547,779.01500529215,999.8829999999999,721.0858040211328,871.331,784.9892246483745,972.901,737.6602742494846,810.9,702.5235775109363,741.78,339.33668942258475,314.41499999999996
heating_training,E67,2650.0,789.2352617500698,952.322,779.205402254044,1000.2049999999999,721.4554034702132,872.4159999999999,785.1648699619769,973.263,737.9647077652969,812.178,702.9492993397491,743.4369999999999,339.78813672301715,314.96799999999996
heating_training,E67,2700.0,789.2837369096688,950.365,779.3871345874244,999.963,721.8260564823936,873.252,785.3087570670485,973.2049999999999,738.2879177523942,813.3249999999999,703.3789575735713,744.865,340.22234420275333,315.508
heating_training,E67,2750.0,789.3583879384944,949.35,779.548024848288,999.095,722.1785702332622,873.845,785.4182455353725,972.489,738.5625708858124,814.295,703.7912477821418,746.278,340.6402214832157,316.078
heating_training,E67,2800.0,789.4755793773251,947.946,779.7280488253522,998.558,722.5226219165455,874.2049999999999,785.603563632901,971.971,738.8399781013119,815.009,704.189880124052,747.461,341.042667334686,316.616
heating_training,E67,2850.0,789.5391922798946,948.2139999999999,779.9098135042634,998.358,722.8764415226677,874.54,785.7707471662441,971.699,739.1612102662634,815.673,704.6002442785773,748.614,341.43052454832304,317.13199999999995
heating_training,E67,2900.0,789.5846151523247,948.404,780.0599958093111,998.432,723.2179787230083,875.098,785.8569243341666,971.762,739.4409313981357,816.438,705.0025376791816,749.8820000000001,341.80445528918193,317.662
heating_training,E67,2950.0,789.6339798227501,946.838,780.1995503562389,998.067,723.5411256162182,875.509,785.9484817230505,971.437,739.6865194445412,817.115,705.385596973294,751.028,342.16505287402566,318.145
heating_training,E67,3000.0,789.686797637274,945.62,780.3349386308165,998.304,723.853082150487,876.05,786.0505341141654,971.6329999999999,739.9260064394549,817.889,705.7564112790774,751.943,342.5128721673604,318.652
heating_training,E67,3050.0,789.7367060142287,947.942,780.4667130870902,998.97,724.1585535408951,876.524,786.1546457098633,972.026,740.1682719294986,818.6089999999999,706.1206353046896,752.847,342.8486284478141,319.13399999999996
heating_training,E67,3100.0,789.7977101616269,946.183,780.5960936256963,999.471,724.4574462365357,877.3389999999999,786.2631796341842,972.59,740.406404509324,819.4929999999999,706.4776512486654,753.822,343.1730674050023,319.59799999999996
heating_training,E67,3150.0,789.83536359826,947.278,780.7222775867689,999.0939999999999,724.7551651194087,877.976,786.3643973391116,972.338,740.6558906301142,820.345,706.8345786956313,755.016,343.48685099613994,320.12399999999997
heating_training,E67,3200.0,789.8860357695189,946.712,780.8369984402239,998.256,725.0429193820638,878.293,786.4470252894608,971.739,740.8818314632117,820.92,707.1819700990827,755.913,343.79062454748254,320.575
heating_training,E67,3250.0,789.9414049802012,946.56,780.956666328883,997.847,725.3258209231757,878.362,786.5549141362765,971.3,741.1104183799158,821.3059999999999,707.5228613411416,756.631,344.08487866905915,321.03999999999996
