variant,simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
fitted_energy_accounting,E74,heating,T9_core,170.2526626129454,-158.1416785363765,650.0,9.548088189296562e-5
fitted_energy_accounting,E74,heating,T10_core,102.97022397571014,-108.5615493071864,600.0,4.7744994629432136e-5
fitted_energy_accounting,E74,heating,T3,69.71643956923603,-78.47669309474213,500.0,1.8957115393695784e-5
fitted_energy_accounting,E74,heating,T2,34.15332379566824,50.32395269928213,0.0,0.00013633832946228027
fitted_energy_accounting,E75,heating,T8,70.26254292195907,-58.86794781597848,150.0,1.4324811554176072e-5
fitted_energy_accounting,E75,heating,T12_perim,150.20739682086966,-134.00170280428665,650.0,0.00013024618231907974
fitted_energy_accounting,E75,heating,T11_perim,80.91456448770917,-79.06770530143103,600.0,5.571150411926759e-5
fitted_energy_accounting,E75,heating,T9_core,154.88411491359508,-144.61324723413588,650.0,8.509404110580598e-5
fitted_energy_accounting,E75,heating,T10_core,81.04007880303219,-86.09478641830049,500.0,3.4155012088033056e-5
fitted_energy_accounting,E75,heating,T3,45.45373174055034,-51.57620887965413,450.0,1.0820109542550528e-5
fitted_energy_accounting,E75,heating,T2,36.75380999044647,54.16525998291593,0.0,0.00012474837692984846
fitted_energy_accounting,E76,heating,T8,25.875528215128366,-15.664581584941288,100.0,5.86478933730221e-6
fitted_energy_accounting,E76,heating,T12_perim,105.1172522870149,-85.26071531797265,650.0,0.00010960366932338487
fitted_energy_accounting,E76,heating,T11_perim,38.6062525974628,-28.662216502632873,650.0,4.2567513963179695e-5
fitted_energy_accounting,E76,heating,T9_core,120.70587310809407,-106.9932377338697,800.0,7.796303840658351e-5
fitted_energy_accounting,E76,heating,T10_core,47.03840060631918,-44.39353496972467,600.0,2.5989144757544962e-5
fitted_energy_accounting,E76,heating,T3,11.197025867326513,-7.687295655064872,450.0,5.669304533174391e-6
fitted_energy_accounting,E76,heating,T2,41.498552229717916,60.93591917488254,-50.0,0.00011588315150711956
fitted_energy_accounting,E77,heating,T8,71.64958494464742,-82.35414068613238,-300.0,0.00011370266901524705
fitted_energy_accounting,E77,heating,T12_perim,140.98265861320118,-150.25776340700412,100.0,0.0005064295363003956
fitted_energy_accounting,E77,heating,T11_perim,119.7557753755233,-135.01127123290485,150.0,0.00044848103439538024
fitted_energy_accounting,E77,heating,T9_core,128.18854082888305,-141.64937652833908,0.0,0.0003370198406338419
fitted_energy_accounting,E77,heating,T10_core,98.63733896933067,-117.92361544482247,-50.0,0.00029847303241321214
fitted_energy_accounting,E77,heating,T3,91.25865166807202,-114.35830969425706,0.0,0.00022611923923899902
fitted_energy_accounting,E77,heating,T2,9.2650024544509,14.095394055617874,-291.0,0.0055655809451154335
fitted_energy_accounting,E78,heating,T8,90.8806321734247,-98.47346064257943,-150.0,5.194385898806414e-5
