simulation_id,phase,sensor,rmse_K,bias_K,final_error_K,t90_error_s,shape_loss
E78,heating_validation,T12_perim,106.32064017173816,-102.99716619169234,-121.01154695597938,-200.0,6.214737242416872e-5
E78,heating_validation,T11_perim,82.47877794323031,-78.22725815359608,-104.77524663811948,-850.0,4.106937041142224e-5
E78,heating_validation,T9_core,82.83880494243202,-78.19126337604395,-98.40728934787035,-350.0,8.566749607720719e-5
E78,heating_validation,T10_core,53.84993497408788,-47.40993253491441,-76.11981295422004,-1100.0,2.8171288297603897e-5
E78,heating_validation,T3,66.46448668459625,-51.670118390663106,-94.06768067690837,-1750.0,0.000162131176354185
E78,heating_validation,T2,9.952702098329627,9.188711513125034,9.359994223770855,-750.0,0.0001375901018984962
E80,heating_validation,T8,64.35801698410135,62.19898326745232,55.29208871471485,-350.0,0.0004865716324998904
E80,heating_validation,T12_perim,61.912570189928424,-59.46084951614475,-72.42607024731149,-200.0,2.0813845070540582e-5
E80,heating_validation,T11_perim,35.35012518622735,-31.004868486188155,-53.04061930041166,-900.0,1.6233538219500908e-5
E80,heating_validation,T9_core,39.12682257206124,-34.44678488093275,-49.66699952818658,-350.0,4.1961242653629876e-5
E80,heating_validation,T10_core,18.19424923301084,-4.0889490328399365,-27.948166893995676,-1100.0,1.7853347642788797e-5
E80,heating_validation,T3,46.63236115959966,-24.12786233138019,-68.69658590392282,-1900.0,0.0001390527356805532
E80,heating_validation,T2,15.883882093378292,14.588673123297138,16.709134208388434,-1000.0,0.0001849820899801412
C69,cooling_validation,T8,14.111772162811436,-13.444424859056449,-9.223001916981957,-50.0,6.362373302882546e-6
C69,cooling_validation,T12_perim,28.71359533391423,-24.292874121581118,-18.75550904320994,-100.0,0.0004294946050848357
C69,cooling_validation,T11_perim,43.23376452671142,-41.29648181172454,-32.686712770952454,-250.0,0.00018575876288530233
C69,cooling_validation,T9_core,39.56910037059978,-37.58997419866249,-24.52089693650362,-200.0,0.0003175888762019805
C69,cooling_validation,T10_core,56.29757248441365,-53.44567758041039,-41.692652621967795,-350.0,9.916631320716755e-5
C69,cooling_validation,T3,138.81638185549716,-129.0538683281589,-55.42129741315085,-700.0,0.0008549931357795182
C69,cooling_validation,T2,20.832596807862473,11.984750671939041,-5.5043182379868085,-200.0,0.006827970626084277
C80,cooling_validation,T8,9.091227020017138,-8.00789027744799,-6.227013183998054,-150.0,7.032423644406053e-6
C80,cooling_validation,T12_perim,22.391729392671618,-21.157489252158417,-11.751404659259094,-350.0,0.00020854925321016433
C80,cooling_validation,T11_perim,30.31054988097118,-28.499233385545836,-17.53379193905471,-600.0,3.716415859339372e-5
C80,cooling_validation,T9_core,25.10715926691058,-24.169614651678565,-12.785015363838454,-400.0,0.00011078604057643238
C80,cooling_validation,T10_core,33.52689440733684,-30.331513299991386,-19.51944836213312,-650.0,7.097103824562388e-5
C80,cooling_validation,T3,76.56396313355677,-70.33566950551028,-25.26507700539861,-1050.0,0.00023888295193917448
C80,cooling_validation,T2,11.609072582421955,6.068890093418625,-2.591145857903996,-450.0,0.006149454105696656
C81,cooling_validation,T8,7.10684068990267,-3.14466881547133,-3.754525632003606,0.0,3.960564583368865e-6
C81,cooling_validation,T12_perim,18.79822849274254,-17.23469172242592,-5.415528884835965,-550.0,8.612978971974914e-5
C81,cooling_validation,T11_perim,26.835479346082945,-23.85773703163265,-8.270877751749595,-1000.0,9.459621497691795e-6
C81,cooling_validation,T9_core,20.07845072389345,-18.711769586519164,-6.31140411592105,-600.0,3.745439896601564e-5
