effective_front_area_cm2,group_kW_m2,power_scale,objective,side_final_rmse_K,T2_final_rmse_K,T3_final_rmse_K,side_final_bias_K,T2_final_bias_K,T3_final_bias_K,transient_side_rmse_K,transient_T2_rmse_K,transient_T3_rmse_K
7.0,456,1.34,4.118342748316071,100.62606976099595,2.7459548559984315,182.50133827967753,-35.16198815329315,0.8469000777325428,148.91010097899385,111.93154172183895,12.528661660837011,225.03522722272717
7.0,456,1.5,5.782131003691775,98.46056761780359,6.25416216275645,231.34640957907797,25.903165509845874,5.911429105018189,204.74386624565173,115.71783857955468,15.32700393449572,272.2495182544597
7.0,456,1.65,8.409035755572638,124.32036612188293,10.762239445785768,276.7054157351567,80.11048829598029,10.645400196875642,254.40661502471707,140.82562495480053,18.383646324917297,315.57020585464966
7.0,304,1.05,5.001829677709621,175.71450369958288,5.485318256655694,128.1554418497109,-140.63242174095924,-3.082141699516111,13.877464500477524,164.35031070859313,7.692589085309315,140.98554529541696
7.0,304,1.23,4.231906353263034,139.161976288791,4.272930879451196,151.4895236034899,-82.2452998440629,0.9972528626222923,65.94634123617921,134.6185345868257,9.801399084869244,172.51319031128799
7.0,304,1.4,4.579891697344333,121.71728382392469,6.254999156299186,182.04649343257736,-30.266442769722513,4.74598837605292,112.47995152884255,124.21862301543558,12.279468554090737,206.01433227325094
7.0,304,1.58,5.8911256487784245,124.65937983115789,9.719511938979403,217.81705902672834,21.701421238340654,8.697064730309434,159.16630680167762,132.63432018733303,15.147931246928378,242.4893657077102
7.0,304,1.8,8.592858771727782,151.22140854901747,14.299777501311622,262.76531913791024,81.5134997445153,13.42123682405547,213.0882044311885,161.36920413334326,18.78208440264218,286.71358031589017
7.0,256,0.7,1.3833836603690566,95.46985695448262,1.5603224574641927,62.00314400560717,-80.77792302786337,-0.5154763342564971,1.4420154596372896,82.64832963340736,5.013584275314746,73.31889707717706
7.0,256,0.84,1.122648904972105,66.32782156339157,3.487633549889137,83.51127248070627,-31.455577245382926,2.5436435696539283,44.76294927900392,63.38004421769111,6.523218946849922,101.8556683453803
7.0,256,0.94,1.4608696446441216,63.672250082942746,5.588503469115467,106.21264913791983,2.4119581723387804,4.706740165681382,74.50828851936286,68.39682331620502,7.882513825080363,125.13917510040034
7.0,256,1.11,2.8998902048988087,91.90590813542055,9.239416550294697,148.35505185151624,57.48890200773247,8.326800460280227,122.9292416692481,101.08150819918339,10.40855143696707,165.71797987130813
7.0,256,1.25,4.789510186522697,126.95375760821379,12.209025376703826,183.37298189306367,100.62623282222232,11.251175833267004,160.9307513089911,135.58543601410392,12.559153833759293,198.7192275556976
12.0,456,1.05,5.553678799125286,203.569959329731,11.806993451331746,84.50842907055728,-185.65691886703289,-10.641457109842994,12.809857761774799,195.26418007007535,10.407669625518375,120.34334858126317
