variant,simulation_id,z_mm,Tperim_K,Tcore_K,Trear_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,Qcore_rear_W,Qperim_rear_W,Qrear_tube_W,Qrear_cavity_W,rear_contact_weight,active_flow_fraction,flange_scale,flange_cool_gain,flange_cool_tau_s,k_core_axial_scale,G_rear_axial_W_K
fitted_energy_accounting,E81,57.54,454.2772404263018,433.3377363974781,363.57014667895845,443.150380409434,433.49848805430906,4.76620967821031,115.48848270318581,0.8722009632809944,0.9836179059756899,-0.8914061974604854,0.0,1.426666654652096,1.214628889764424,2.1744595451170903,0.001811234537205753,0.0,1.75328754839939,0.03246337506539323,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,63.02,446.1639152046767,424.4404971200973,362.31350982636854,433.49848805430906,424.61362602694834,4.661744630969923,111.00455878545002,0.826298478025657,0.9808866107166033,-0.8194398381931486,0.0,1.4038441535947588,1.2601010584415173,2.152384216554051,0.0018611462305386799,0.0,1.8685930260073624,0.03608573549214431,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,68.50000000000001,438.55051734628444,416.328482064485,360.99527295361463,424.61362602694834,416.5101180829956,4.569034764395996,107.02754302250831,0.7847160007684186,0.9780769025458679,-0.7464705454680881,0.0,1.38138674591981,1.2890241337848083,2.109448193507203,0.001894218186974129,0.0,1.963437681270119,0.03970809591889539,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,73.98000000000002,431.4845486247474,408.9882785011769,359.6460633824145,416.5101180829956,409.1747140779226,4.485486893710722,103.47903935830657,0.7473935923373729,0.9752140982644332,-0.6749978204081089,0.0,1.3592885911991115,1.3049315574246694,2.0526544664664423,0.0019146535371564507,0.0,2.0389865999063868,0.04333045634564647,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,79.46000000000002,424.99013635220706,402.3885491365075,358.29531037214053,409.1747140779226,402.5763834870499,4.409188810833355,100.29659090256735,0.7141512108826598,0.9723209865713629,-0.6066118543153194,0.0,1.3375439424342956,1.3110406411216804,1.987639389747108,0.0019261653418227499,0.0,2.097091359756567,0.046952816772397536,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,84.94000000000001,419.0749396455275,396.4878515153021,356.97040715428045,402.5763834870499,396.6740532164964,4.338712313458458,97.42948613992131,0.6847447301862004,0.9694176359657267,-0.5421911958550911,0.0,1.3161471445621948,1.310199598847332,1.9188021960511665,0.001931970447862087,0.0,2.1401765143021523,0.05057517719914862,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,90.42000000000002,413.73609541362583,391.24054307734775,355.696273303486,396.6740532164964,391.422449234744,4.272976495384491,94.83600133664127,0.6589066031043537,0.9665214285539578,-0.482081738378058,0.0,1.2950926329841428,1.3048899210429843,1.8494947176811185,0.0019348415150500244,0.0,2.1711322494671346,0.0541975376258997,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,95.90000000000002,408.9652439157608,386.6010756001965,354.49525175692986,391.422449234744,386.77634568036547,4.211150681343172,92.48150661713063,0.6363745864321475,0.9636472728616099,-0.42624509506931124,0.0,1.2743749321187898,1.2972687841243313,1.7822354725715974,0.0019371997459195626,0.0,2.1932244681329918,0.05781989805265076,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,101.38000000000001,404.7527660404834,382.5270462044549,353.38727324995267,386.77634568036547,382.6935849941107,4.152584354606175,90.33711264546301,0.6169118340326322,0.9608079424385239,-0.37437194235179283,0.0,1.2539886539781406,1.2892378621523157,1.7189263848036074,0.0019412362790066043,0.0,2.210030016592306,0.06144225847940184,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,106.86000000000001,401.09141935623944,378.9814082822716,352.39022590380745,382.6935849941107,379.1372658855997,4.096755749980287,88.37867466499755,0.6003212802287176,0.9580144978467732,-0.3259580594495585,0.0,1.2339284967662163,1.2825259932845392,1.6610644453013945,0.0019490557579927735,0.0,2.2254018883394213,0.06506461890615291,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,112.34,397.97958457307277,375.9343501022864,351.5204754397938,379.1372658855997,376.07759481597645,4.043233009977007,86.58605654492513,0.5864567755658899,0.9552767779795027,-0.28033451988555347,0.0,1.2141892435003725,1.2787685244592668,1.6099599467466386,0.00196284074511925,0.0,2.2434669858081158,0.06868697933290398,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,117.82000000000002,395.4243244683788,373.36576742248076,350.7934872296093,376.07759481597645,373.4942971555884,3.991642162190501,84.9426301823995,0.5752329689244138,0.9526040140254114,-0.23661568298145966,0.0,1.1947657606543458,1.2795413213982203,1.5670172308132917,0.0019850397100745192,0.0,2.268656956229252,0.07230933975965506,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,123.30000000000003,393.44437134909515,371.27077071830917,350.2244948695591,373.4942971555884,371.3819341103369,3.9416330324941793,83.4351060499963,0.5666353111760193,0.9500058150134851,-0.19343245030395909,0.0,1.1756529968234297,1.2862146056171109,1.5342718815533447,0.0020185820856545044,0.0,2.305769235767022,0.07593170018640613,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,128.78,392.07282760319276,369.67591785879466,349.829109920936,371.3819341103369,369.7654932362059,3.892820819801127,82.05412332733677,0.5607300869763302,0.9474944172833998,-0.14799127383179692,0.0,1.1568459814105456,1.2991680022385208,1.5158525620208807,0.0020671131629840626,0.0,2.360045543686422,0.0795540606131572,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
fitted_energy_accounting,E81,134.26000000000002,391.3581877690047,368.69196753434414,349.62356682432994,369.7654932362059,368.7509134340239,3.844633953055871,80.79710972232093,0.5576695068698023,0.9450913009557638,-0.09287609435540493,0.0,1.1383398233337196,1.314789781118246,1.522714356592505,0.002135189729636742,0.0,2.437220096760115,0.08317642103990829,1.0,0.1014799960839941,4.8809313715223235,113.68330754703565,0.04734319105878005,4.521902076815926
