stage,evaluation,rmse_mbar,hydraulic_resistance_scale,groove_loss_coefficient
refinement,144,0.03490760555956585,0.75,325.0
refinement,145,0.03339386691698499,0.75,335.0
refinement,146,0.031991741773709094,0.75,345.0
refinement,147,0.030700416354796287,0.75,355.0
refinement,148,0.029519307806399508,0.75,365.0
refinement,149,0.028448011884333397,0.75,375.0
refinement,150,0.027486116051092704,0.75,385.0
refinement,151,0.02663308707014875,0.75,395.0
refinement,152,0.025888117730751458,0.75,405.0
refinement,153,0.025249962363135803,0.75,415.0
refinement,154,0.02471683583220262,0.75,425.0
refinement,155,0.027984609794278303,0.8,275.0
refinement,156,0.026616928634966033,0.8,285.0
refinement,157,0.025498598217590693,0.8,295.0
refinement,158,0.024630173744079706,0.8,305.0
refinement,159,0.02400837600749535,0.8,315.0
refinement,160,0.023625215921157027,0.8,325.0
refinement,161,0.023467784210523646,0.8,335.0
refinement,162,0.023518677229130473,0.8,345.0
refinement,163,0.02375713649035667,0.8,355.0
refinement,164,0.02416046523314623,0.8,365.0
refinement,165,0.02470551359460962,0.8,375.0
refinement,166,0.025369940240917294,0.8,385.0
refinement,167,0.026133052022624677,0.8,395.0
refinement,168,0.02697632773295716,0.8,405.0
refinement,169,0.027883554696692323,0.8,415.0
refinement,170,0.02884098942974334,0.8,425.0
refinement,171,0.02456200601954251,0.85,275.0
refinement,172,0.025489695751893946,0.85,285.0
refinement,173,0.02664451907188063,0.85,295.0
refinement,174,0.02797068626848788,0.85,305.0
refinement,175,0.029421907567069683,0.85,315.0
refinement,176,0.030961081816938556,0.85,325.0
refinement,177,0.03255936855072405,0.85,335.0
refinement,178,0.0341945406271374,0.85,345.0
refinement,179,0.03584974421660706,0.85,355.0
refinement,180,0.03751225130010616,0.85,365.0
refinement,181,0.03917246794851473,0.85,375.0
refinement,182,0.04082332260691768,0.85,385.0
refinement,183,0.0424594794280809,0.85,395.0
refinement,184,0.044077019267429254,0.85,405.0
refinement,185,0.04567314440223915,0.85,415.0
refinement,186,0.0472458204615599,0.85,425.0
refinement,187,0.03707175073021592,0.8999999999999999,275.0
refinement,188,0.039445843493361187,0.8999999999999999,285.0
refinement,189,0.04181472113222951,0.8999999999999999,295.0
refinement,190,0.04416292904528369,0.8999999999999999,305.0
refinement,191,0.04648014739294417,0.8999999999999999,315.0
refinement,192,0.04875946909977161,0.8999999999999999,325.0
refinement,193,0.05099634891943645,0.8999999999999999,335.0
refinement,194,0.05318811995135046,0.8999999999999999,345.0
refinement,195,0.05533323091367693,0.8999999999999999,355.0
refinement,196,0.05743103272288863,0.8999999999999999,365.0
refinement,197,0.059481500401250643,0.8999999999999999,375.0
refinement,198,0.06148504333998323,0.8999999999999999,385.0
refinement,199,0.06344233542318856,0.8999999999999999,395.0
refinement,200,0.0653543860733358,0.8999999999999999,405.0
refinement,201,0.06722222366548382,0.8999999999999999,415.0
refinement,202,0.069046988074459,0.8999999999999999,425.0
refinement,203,0.05531221848083714,0.95,275.0
refinement,204,0.058224257293502744,0.95,285.0
refinement,205,0.06105979439493518,0.95,295.0
refinement,206,0.06381879047128608,0.95,305.0
refinement,207,0.06650219169854092,0.95,315.0
refinement,208,0.06911153789390441,0.95,325.0
refinement,209,0.0716489313549969,0.95,335.0
refinement,210,0.07411665301834337,0.95,345.0
refinement,211,0.07651700494770458,0.95,355.0
refinement,212,0.07885250275154389,0.95,365.0
refinement,213,0.0811255478597046,0.95,375.0
refinement,214,0.08333854219609106,0.95,385.0
refinement,215,0.0854938307099398,0.95,395.0
refinement,216,0.087593684667898,0.95,405.0
refinement,217,0.08964024801725544,0.95,415.0
refinement,218,0.09163571100260552,0.95,425.0
