stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,lateral_conductivity_scale,edge_felt_contact_scale,beam_sigma_mm,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
shape,18,6.4381172113949745,1.7861435359352977,3.036851901112717,1.5219548602829198,1.5169872095530916,0.48382444338818886,1.0,1.0,14.0,50.0,1.8,1.25,1.05,0.77
shape,19,5.991767315435082,1.540415299008266,2.6201093547117917,1.551869033625422,1.0655630702278034,0.48382444338818886,1.0,1.0,14.0,100.0,0.75,1.25,1.05,0.77
shape,20,5.960278040127239,1.5531398816085524,2.6337411653925535,1.5567019540794194,0.8723322634932928,0.48382444338818886,1.0,1.0,14.0,100.0,1.2,1.25,1.05,0.77
shape,21,5.940333210483129,1.5549829805159148,2.631341295073377,1.557854705844158,0.7944206935426337,0.48382444338818886,1.0,1.0,14.0,100.0,1.8,1.25,1.05,0.77
shape,22,6.054396245505086,1.4817216873123682,2.5239633931941574,1.5575751064912258,1.5280770185264148,0.48382444338818886,1.0,1.0,14.0,150.0,0.75,1.25,1.05,0.77
shape,23,5.991835024605326,1.491579860721442,2.531397733893261,1.559604432175969,1.2657158588995738,0.48382444338818886,1.0,1.0,14.0,150.0,1.2,1.25,1.05,0.77
shape,24,5.959965719872882,1.4918840237799342,2.5255655183737886,1.5600994695197925,1.1610029328237719,0.48382444338818886,1.0,1.0,14.0,150.0,1.8,1.25,1.05,0.77
shape,25,6.1866115513921,1.4427863714572142,2.4614080474229834,1.5585425163553086,2.154685037677599,0.48382444338818886,1.0,1.0,14.0,250.0,0.75,1.25,1.05,0.77
shape,26,6.105762887444585,1.4502970424184811,2.4637222881534355,1.559555212237452,1.8510883747035816,0.48382444338818886,1.0,1.0,14.0,250.0,1.2,1.25,1.05,0.77
shape,27,6.0659541667778205,1.4491122114179598,2.4548684408573074,1.5592187084176001,1.7334392819112474,0.48382444338818886,1.0,1.0,14.0,250.0,1.8,1.25,1.05,0.77
shape,28,6.2613675465181045,1.4261743529343185,2.4351801826432737,1.5578378339489614,2.4901708306626227,0.48382444338818886,1.0,1.0,14.0,400.0,0.75,1.25,1.05,0.77
shape,29,6.175220789048939,1.4324089378740035,2.4344476270463113,1.558774385493081,2.1767219012692838,0.48382444338818886,1.0,1.0,14.0,400.0,1.2,1.25,1.05,0.77
shape,30,6.134043478564222,1.4304538643829654,2.424044053229903,1.5584637859711252,2.0584553485864685,0.48382444338818886,1.0,1.0,14.0,400.0,1.8,1.25,1.05,0.77
shape,31,6.313006125177515,1.7562672437841031,2.995905126893998,1.4824125550079168,1.5041000387176162,0.48382444338818886,1.0,1.0,100.0,50.0,0.75,1.25,1.05,0.77
shape,32,6.366218819188434,1.776218964154481,3.0246993670517144,1.4962481096679783,1.4939386796279597,0.48382444338818886,1.0,1.0,100.0,50.0,1.2,1.25,1.05,0.77
shape,33,6.382807378555772,1.781801408920346,3.0304813714910317,1.5010893086091857,1.4925690642521703,0.48382444338818886,1.0,1.0,100.0,50.0,1.8,1.25,1.05,0.77
shape,34,5.975057693262085,1.5365858020049483,2.6150174700946107,1.542415376072686,1.090745587964288,0.48382444338818886,1.0,1.0,100.0,100.0,0.75,1.25,1.05,0.77
shape,35,5.944244296078289,1.54914490298207,2.627966180097781,1.5486140078524684,0.8918976722261783,0.48382444338818886,1.0,1.0,100.0,100.0,1.2,1.25,1.05,0.77
shape,36,5.923945345707836,1.5510224903955254,2.6257985938475255,1.5499687087679634,0.8111121264267735,0.48382444338818886,1.0,1.0,100.0,100.0,1.8,1.25,1.05,0.77
shape,37,6.0515515686037125,1.4781337173371314,2.5190904865142936,1.5507656802651162,1.5808237436265538,0.48382444338818886,1.0,1.0,100.0,150.0,0.75,1.25,1.05,0.77
shape,38,5.9894863257244095,1.487871108492215,2.5261012608610356,1.554188405035971,1.3116526906928216,0.48382444338818886,1.0,1.0,100.0,150.0,1.2,1.25,1.05,0.77
shape,39,5.956293765315488,1.4880609662557844,2.5203000749875346,1.5546090078900023,1.2033751302978128,0.48382444338818886,1.0,1.0,100.0,150.0,1.8,1.25,1.05,0.77
shape,40,6.194783003068251,1.439504814475954,2.457475100637512,1.5531004711383236,2.23307498143434,0.48382444338818886,1.0,1.0,100.0,250.0,0.75,1.25,1.05,0.77
shape,41,6.1132001128250035,1.4468142116248899,2.4592173655398395,1.5551667446303312,1.9212499352780175,0.48382444338818886,1.0,1.0,100.0,250.0,1.2,1.25,1.05,0.77
shape,42,6.072558967991669,1.445703817872466,2.450323830649143,1.5549863101993917,1.7995771961052742,0.48382444338818886,1.0,1.0,100.0,250.0,1.8,1.25,1.05,0.77
shape,43,6.27379751505209,1.4230436831143718,2.431381659609283,1.5527034436602833,2.5800674168009077,0.48382444338818886,1.0,1.0,100.0,400.0,0.75,1.25,1.05,0.77
shape,44,6.186951397808452,1.4290871948361867,2.430426619712589,1.5547143919152315,2.257984038446434,0.48382444338818886,1.0,1.0,100.0,400.0,1.2,1.25,1.05,0.77
shape,45,6.145786059676657,1.4272312351818528,2.4200624427447823,1.5550194135718327,2.1352834761120345,0.48382444338818886,1.0,1.0,100.0,400.0,1.8,1.25,1.05,0.77
shape,46,6.234571183779505,1.6053517382568216,2.9789455261079643,1.5909289634675448,1.1791709400531674,0.39985315747851075,1.0,3.0,100.0,50.0,0.75,1.25,1.05,0.77
shape,47,6.24218044521878,1.6049067325835493,2.9739622610159944,1.6013964982802804,1.141218196768724,0.39985315747851075,1.0,3.0,100.0,50.0,1.2,1.25,1.05,0.77
shape,48,6.23988785323003,1.601627205834616,2.9651631858090806,1.60529055581837,1.1273466709223139,0.39985315747851075,1.0,3.0,100.0,50.0,1.8,1.25,1.05,0.77
shape,49,6.0121258177735495,1.384456573311176,2.601340863296098,1.6483946033842118,1.168503999886219,0.39985315747851075,1.0,3.0,100.0,100.0,0.75,1.25,1.05,0.77
shape,50,5.9328245917377,1.3744672367842565,2.5769672637933967,1.6502583913967583,0.9494127142755089,0.39985315747851075,1.0,3.0,100.0,100.0,1.2,1.25,1.05,0.77
shape,51,5.8917499573934915,1.3664093969100355,2.5587412485466565,1.6498115143274583,0.860561928417627,0.39985315747851075,1.0,3.0,100.0,100.0,1.8,1.25,1.05,0.77
shape,52,6.135658212782228,1.3286804917000345,2.5125464359471854,1.6546662435168005,1.8131824150839373,0.39985315747851075,1.0,3.0,100.0,150.0,0.75,1.25,1.05,0.77
shape,53,6.025561589433263,1.3148652028829053,2.480418099705899,1.6540446842475622,1.528516698014026,0.39985315747851075,1.0,3.0,100.0,150.0,1.2,1.25,1.05,0.77
shape,54,5.973087662025656,1.3049979338039353,2.458180797070452,1.6530808059461475,1.415157661563452,0.39985315747851075,1.0,3.0,100.0,150.0,1.8,1.25,1.05,0.77
shape,55,6.314900489724302,1.2929075352971027,2.4576382390718683,1.655616165045392,2.578475246251998,0.39985315747851075,1.0,3.0,100.0,250.0,0.75,1.25,1.05,0.77
shape,56,6.185849404353013,1.2760447177794254,2.4196490330634384,1.6535649246498685,2.25617849538521,0.39985315747851075,1.0,3.0,100.0,250.0,1.2,1.25,1.05,0.77
shape,57,6.125846315733157,1.2644808399507732,2.3938959387101773,1.6519043452513194,2.131538083091458,0.39985315747851075,1.0,3.0,100.0,250.0,1.8,1.25,1.05,0.77
shape,58,6.413053921500694,1.2796768925808855,2.438365149440221,1.6552454869063917,2.971499771785677,0.39985315747851075,1.0,3.0,100.0,400.0,0.75,1.25,1.05,0.77
shape,59,6.2789962225206,1.2610674042512822,2.396559387121783,1.653266040394437,2.641674475348848,0.39985315747851075,1.0,3.0,100.0,400.0,1.2,1.25,1.05,0.77
shape,60,6.217269552500267,1.2485244067221162,2.3689276181325494,1.6514796662311206,2.5172698304562964,0.39985315747851075,1.0,3.0,100.0,400.0,1.8,1.25,1.05,0.77
shape,61,8.190066408533015,2.490845848746032,3.944485177974366,1.7832147252383765,1.8234001545643654,0.8048510190972213,0.2,0.3,100.0,50.0,0.75,1.25,1.05,0.77
shape,62,8.315594638382699,2.535063022664088,4.012960514060687,1.8201993119875262,1.7793977599224726,0.8048510190972213,0.2,0.3,100.0,50.0,1.2,1.25,1.05,0.77
shape,63,8.367631032652092,2.5506809481230914,4.034848327354364,1.8378109137193208,1.7614941644514646,0.8048510190972213,0.2,0.3,100.0,50.0,1.8,1.25,1.05,0.77
shape,64,8.083198120064422,2.319080124251715,3.6453098742868124,1.8582135633341699,1.8389079910323705,0.8048510190972213,0.2,0.3,100.0,100.0,0.75,1.25,1.05,0.77
shape,65,8.170079989762476,2.35982674456445,3.7052900177325756,1.8993016132683336,1.6587916793099189,0.8048510190972213,0.2,0.3,100.0,100.0,1.2,1.25,1.05,0.77
shape,66,8.203790504276547,2.3731846863118964,3.7217401194195148,1.9184621335748493,1.582446684801622,0.8048510190972213,0.2,0.3,100.0,100.0,1.8,1.25,1.05,0.77
shape,67,8.248905729967145,2.2698261347261393,3.5667686605896134,1.8671183143704075,2.574622862582318,0.8048510190972213,0.2,0.3,100.0,150.0,0.75,1.25,1.05,0.77
shape,68,8.321197477044455,2.309698722142312,3.62323643727216,1.9086505897396842,2.3493371156417213,0.8048510190972213,0.2,0.3,100.0,150.0,1.2,1.25,1.05,0.77
shape,69,8.348633704758083,2.3222390594090756,3.637449334275913,1.9281041283291696,2.255086929530941,0.8048510190972213,0.2,0.3,100.0,150.0,1.8,1.25,1.05,0.77
shape,70,8.45935623509865,2.234651183877739,3.5114849690955428,1.8691192842298752,3.4353182749462885,0.8048510190972213,0.2,0.3,100.0,250.0,0.75,1.25,1.05,0.77
shape,71,8.524870479568033,2.273753524348733,3.5660726724953005,1.9112934323320845,3.187609264193103,0.8048510190972213,0.2,0.3,100.0,250.0,1.2,1.25,1.05,0.77
shape,72,8.549255431937066,2.2856827975893332,3.5790671613678433,1.9306778083240799,3.086904532468699,0.8048510190972213,0.2,0.3,100.0,250.0,1.8,1.25,1.05,0.77
shape,73,8.564005768951573,2.215707098372184,3.4816356110260216,1.8693776956478014,3.8754236214245643,0.8048510190972213,0.2,0.3,100.0,400.0,0.75,1.25,1.05,0.77
shape,74,8.627599119100497,2.2544175619241433,3.53492778603909,1.9113547389592165,3.625227446325278,0.8048510190972213,0.2,0.3,100.0,400.0,1.2,1.25,1.05,0.77
shape,75,8.652478397079456,2.266058888920309,3.5470427434268257,1.9309767606385588,3.5264255143512395,0.8048510190972213,0.2,0.3,100.0,400.0,1.8,1.25,1.05,0.77
shape,76,7.9768920447350276,1.7857507256310425,3.021357901704386,2.299428585036216,1.357455854706488,0.5572800442165812,0.2,1.0,100.0,50.0,0.75,1.25,1.05,0.77
shape,77,8.093326813768675,1.8024391832565874,3.0424772808175495,2.3570464370814785,1.2847051666519151,0.5572800442165812,0.2,1.0,100.0,50.0,1.2,1.25,1.05,0.77
shape,78,8.142114404246891,1.8066105856507657,3.0451780433680167,2.3834949467385695,1.2544016333343044,0.5572800442165812,0.2,1.0,100.0,50.0,1.8,1.25,1.05,0.77
