equivalent_strength,exponent,raw_coefficient,reference_reynolds,simulation_id,irradiance_kW_m2,mean_flow_lpm,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,model_T3_K,observed_T3_K,front_to_gas_W,mean_front_h_W_m2K,mean_gas_preheat_K,mass_flow_kg_s,dp1_model_mbar,dp1_observed_mbar
2.0,1.0,0.23342604107408982,73.41104097978786,E80,256.0,6.605050847457628,-45.62084790632389,25.01699999999994,-0.6204372897612984,22.118000000000052,-0.3824326176784325,24.714999999999918,514.785866512118,561.2539999999999,8.560662029739143,168.9518122915405,61.22733979884622,0.00013213557121730338,0.20303428551486669,0.238
2.0,1.0,0.23342604107408982,73.41104097978786,E81,256.0,4.527140495867768,-70.34135820437814,-10.158999999999878,-0.8586022562788003,21.39800000000014,-0.5045009667244358,21.208999999999946,548.1793071546479,550.499,7.499871588430984,115.68368180096327,78.35748532069393,9.043803481256982e-5,-0.02584177208398053,-0.023
2.0,1.25,0.07974600925792995,73.41104097978786,E67,456.0,15.2805125,-2.332229009472485,59.47500000000002,-1.2663369361924879,24.437000000000012,-0.8004962873635577,53.059999999999945,655.0362369920416,763.414,28.027720608552436,436.3676861841185,86.93267739181117,0.0003060287040836849,2.787151155838411,2.712
2.0,1.25,0.07974600925792995,73.41104097978786,E68,456.0,12.499871559633025,-24.709259777752663,35.0680000000001,-1.6056402982385407,26.7890000000001,-0.9804496387592962,48.652000000000044,702.5274941290738,773.207,26.70542181920795,338.6436725393753,101.34941424495699,0.00025000514269536727,2.3037413825786826,2.004
2.0,1.25,0.07974600925792995,73.41104097978786,E69,456.0,10.499733944954128,-45.459495641295916,12.30099999999993,-1.9346295739026118,26.35200000000009,-1.1491090569703601,43.918000000000006,735.7639133194051,769.76,25.070933568575803,272.96815364241934,113.15153065760464,0.00021028843935400635,1.8969142952963063,1.542
2.0,1.25,0.07974600925792995,73.41104097978786,E70,456.0,9.107139705882352,-61.51753435717819,-32.19699999999989,-2.223348006654305,26.552000000000135,-1.2922635991283187,40.690000000000055,759.9421282836299,779.518,23.19530769481012,227.97253950909771,120.7956533266873,0.00018217661658593987,1.5911006440839683,1.314
2.0,1.25,0.07974600925792995,73.41104097978786,E71,456.0,7.126846153846151,-83.8863553228257,-82.95000000000005,-2.721805321564034,25.041999999999916,-1.5311458299291871,35.34699999999998,787.4285470663688,753.56,19.63469762900403,168.283513496877,130.26959615881088,0.00014296012361411756,1.114235693283827,0.825
2.0,1.25,0.07974600925792995,73.41104097978786,E72,304.0,18.707575757575754,9.35105685278279,60.24300000000005,-0.5599527623036238,26.787000000000035,-0.37625603308867994,49.79000000000008,511.84990596289765,652.9549999999999,19.115348952240865,546.6282643671439,49.499969141082104,0.0003664741251387232,2.2430466016372437,2.485
2.0,1.25,0.07974600925792995,73.41104097978786,E73,304.0,13.170870967741934,-11.99782470217724,56.78800000000001,-0.8202944944923729,26.93100000000004,-0.5232075509942433,44.360000000000014,572.2432173688583,694.626,18.621806507224722,362.18218702497245,67.00697678509214,0.000263690898405942,1.6338309444460295,1.827
2.0,1.25,0.07974600925792995,73.41104097978786,E74,304.0,9.023245901639344,-49.164195931092195,13.971000000000004,-1.256907372940418,27.01800000000003,-0.7532052678571972,36.19900000000007,637.3289147752952,697.672,16.740580164728392,225.37373675967206,88.05810754751512,0.00018039586767038267,1.0464352146680582,1.071
