% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 3 2021, 12:11
% Table:              Table 12 - Surface Average 1 - Avg T_gas(z)
% P_to_m (kJ/kg)         z_cpl (mm)               T_g_avg(z) (K)
300                      50                       839.9866294012569
400                      0                        404.4620822328177
400                      1                        543.5430596530405
400                      2                        597.2678168721498
400                      3                        634.6289132530155
400                      4                        659.4854008580173
400                      5                        678.1258598690503
400                      6                        698.1710355449451
400                      7                        709.9200615401495
400                      8                        725.074995275301
400                      9.000000000000002        733.1897750805293
400                      10                       741.463079480967
400                      11                       749.0256147778325
400                      12                       755.5572958481173
400                      13.000000000000002       763.5828561832741
400                      14                       768.2334657204225
400                      15                       773.4528292199077
400                      16                       779.5146704101039
400                      17                       784.7163942244309
400                      18.000000000000004       789.6102650919637
400                      19                       793.0438495914884
400                      20                       796.3872296749769
400                      21                       800.763018856591
400                      22                       803.5408941063464
400                      23                       806.9292721227293
400                      24                       809.5113554395268
400                      25                       811.7009533208311
400                      26.000000000000004       814.2658031699505
400                      27                       816.5510079337616
400                      28                       818.7227349389254
400                      29                       820.4113963398676
400                      30                       822.3907814174119
400                      31                       824.1662343831667
400                      32                       825.6346430178995
400                      33                       827.1902671077138
400                      34                       828.5466353886428
400                      35                       829.5250127376449
400                      36.00000000000001        830.7656588199552
400                      37                       831.6741232366442
400                      38                       832.7844507811125
400                      39                       833.7041335196866
400                      40                       834.5308768055335
400                      41                       835.0729031425035
400                      42                       835.8215090211764
400                      43                       836.5106175260984
400                      44                       837.0613074515389
400                      45                       837.5616031744033
400                      46                       838.1021106845518
400                      47                       838.6040126793405
400                      48                       839.0854575072613
400                      49                       839.4716559921752
400                      50                       839.9866294012569
500                      0                        404.4620822328177
500                      1                        543.5430596530405
500                      2                        597.2678168721496
500                      3                        634.6289132530155
500                      4                        659.4854008580173
500                      5                        678.1258598690503
500                      6                        698.1710355449451
500                      7                        709.9200615401495
500                      8                        725.0749952753008
500                      9.000000000000002        733.1897750805296
500                      10                       741.463079480967
500                      11                       749.0256147778325
500                      12                       755.5572958481175
500                      13.000000000000002       763.5828561832741
500                      14                       768.2334657204225
500                      15                       773.4528292199077
500                      16                       779.5146704101037
500                      17                       784.7163942244309
500                      18.000000000000004       789.6102650919637
500                      19                       793.0438495914884
500                      20                       796.3872296749769
500                      21                       800.763018856591
500                      22                       803.5408941063464
500                      23                       806.9292721227293
500                      24                       809.5113554395268
500                      25                       811.7009533208309
500                      26.000000000000004       814.2658031699505
500                      27                       816.5510079337616
500                      28                       818.7227349389254
500                      29                       820.4113963398676
500                      30                       822.3907814174119
500                      31                       824.1662343831667
500                      32                       825.6346430178995
500                      33                       827.1902671077138
500                      34                       828.5466353886428
500                      35                       829.5250127376449
500                      36.00000000000001        830.7656588199552
500                      37                       831.6741232366442
500                      38                       832.7844507811125
500                      39                       833.7041335196866
500                      40                       834.5308768055335
500                      41                       835.0729031425035
500                      42                       835.8215090211764
500                      43                       836.5106175260984
500                      44                       837.0613074515389
500                      45                       837.5616031744033
500                      46                       838.1021106845516
500                      47                       838.60401267934
500                      48                       839.0854575072613
500                      49                       839.4716559921752
500                      50                       839.9866294012569
600                      0                        404.4620822328177
600                      1                        543.5430596530405
600                      2                        597.2678168721496
600                      3                        634.6289132530155
600                      4                        659.4854008580173
600                      5                        678.12585986905
600                      6                        698.1710355449451
600                      7                        709.9200615401495
600                      8                        725.0749952753008
600                      9.000000000000002        733.1897750805296
600                      10                       741.463079480967
600                      11                       749.0256147778325
600                      12                       755.5572958481173
600                      13.000000000000002       763.5828561832741
600                      14                       768.2334657204225
600                      15                       773.4528292199077
600                      16                       779.5146704101039
600                      17                       784.7163942244309
600                      18.000000000000004       789.6102650919637
600                      19                       793.0438495914884
600                      20                       796.3872296749769
600                      21                       800.763018856591
600                      22                       803.5408941063464
600                      23                       806.9292721227293
600                      24                       809.5113554395268
600                      25                       811.7009533208309
600                      26.000000000000004       814.2658031699505
600                      27                       816.5510079337616
600                      28                       818.7227349389254
600                      29                       820.4113963398676
600                      30                       822.3907814174119
600                      31                       824.1662343831667
600                      32                       825.6346430178995
600                      33                       827.1902671077138
600                      34                       828.5466353886428
600                      35                       829.5250127376449
600                      36.00000000000001        830.7656588199552
600                      37                       831.6741232366442
600                      38                       832.7844507811125
600                      39                       833.7041335196866
600                      40                       834.5308768055335
600                      41                       835.0729031425035
600                      42                       835.8215090211764
600                      43                       836.5106175260984
600                      44                       837.0613074515389
600                      45                       837.5616031744033
600                      46                       838.1021106845516
600                      47                       838.60401267934
600                      48                       839.0854575072613
600                      49                       839.4716559921752
600                      50                       839.9866294012569
700                      0                        404.4620822328177
700                      1                        543.5430596530405
700                      2                        597.2678168721496
700                      3                        634.6289132530155
700                      4                        659.4854008580173
700                      5                        678.1258598690503
700                      6                        698.1710355449451
700                      7                        709.9200615401494
700                      8                        725.0749952753013
700                      9.000000000000002        733.1897750805293
700                      10                       741.463079480967
700                      11                       749.0256147778325
700                      12                       755.5572958481173
700                      13.000000000000002       763.5828561832741
700                      14                       768.2334657204225
700                      15                       773.4528292199077
700                      16                       779.5146704101039
700                      17                       784.7163942244309
700                      18.000000000000004       789.6102650919637
700                      19                       793.0438495914884
700                      20                       796.3872296749769
700                      21                       800.763018856591
700                      22                       803.5408941063464
700                      23                       806.9292721227293
700                      24                       809.5113554395268
700                      25                       811.7009533208309
700                      26.000000000000004       814.2658031699505
700                      27                       816.5510079337616
700                      28                       818.7227349389254
700                      29                       820.4113963398676
700                      30                       822.3907814174119
700                      31                       824.1662343831667
700                      32                       825.6346430178995
700                      33                       827.1902671077138
700                      34                       828.5466353886428
700                      35                       829.5250127376449
700                      36.00000000000001        830.7656588199552
700                      37                       831.6741232366442
700                      38                       832.7844507811125
700                      39                       833.7041335196866
700                      40                       834.5308768055335
700                      41                       835.0729031425035
700                      42                       835.8215090211764
700                      43                       836.5106175260984
700                      44                       837.0613074515389
700                      45                       837.5616031744033
700                      46                       838.1021106845518
700                      47                       838.6040126793405
700                      48                       839.0854575072613
700                      49                       839.4716559921752
700                      50                       839.9866294012569
