% Model:              Cav_Hex_Unif_flux_v5.1 - Base Case.mph
% Version:            COMSOL 5.5.0.359
% Date:               Oct 26 2021, 10:05
% Table:              Table 10 - Surface Integration 1 - Avg. T_solid(z)
% R_channel (mm)                                  emis                                              z_cpl (mm)                                        T_s_domain_avg(z) (K)                             T_s_surface_avg(z) (K)
0.5                                               0.5                                               14                                                317.0283832066423                                 0
0.5                                               0.5                                               15                                                317.2615685639211                                 0
0.5                                               0.5                                               16                                                317.56664694613113                                0
0.5                                               0.5                                               17                                                317.64598716614876                                0
0.5                                               0.5                                               18.000000000000004                                317.4650779813351                                 0
0.5                                               0.5                                               19                                                317.1690156710621                                 0
0.5                                               0.5                                               20                                                317.2686948699107                                 0
0.5                                               0.5                                               21                                                318.0905876080308                                 0
0.5                                               0.5                                               22                                                318.4364090039532                                 0
0.5                                               0.5                                               23                                                318.8260285943301                                 0
0.5                                               0.5                                               24                                                319.2015008613185                                 0
0.5                                               0.5                                               25                                                319.59629362692607                                0
0.5                                               0.7                                               0                                                 319.4782600118916                                 0
0.5                                               0.7                                               1                                                 319.4174455888575                                 0
0.5                                               0.7                                               2                                                 319.3799191824325                                 0
0.5                                               0.7                                               3                                                 319.3495644713557                                 0
0.5                                               0.7                                               4                                                 319.3243711356932                                 0
0.5                                               0.7                                               5                                                 319.2599996915491                                 0
0.5                                               0.7                                               6                                                 319.03091043064666                                0
0.5                                               0.7                                               7                                                 318.8400519326607                                 0
0.5                                               0.7                                               8                                                 318.6845551693716                                 0
0.5                                               0.7                                               9.000000000000002                                 318.54000425663855                                0
0.5                                               0.7                                               10                                                318.38566475451574                                0
0.5                                               0.7                                               11                                                318.1524731622537                                 0
0.5                                               0.7                                               12                                                317.7578189813427                                 0
0.5                                               0.7                                               13.000000000000002                                317.35433221249434                                0
0.5                                               0.7                                               14                                                317.02838320664233                                0
0.5                                               0.7                                               15                                                317.26156856392106                                0
0.5                                               0.7                                               16                                                317.5666469461311                                 0
0.5                                               0.7                                               17                                                317.64598716614864                                0
0.5                                               0.7                                               18.000000000000004                                317.4650779813351                                 0
0.5                                               0.7                                               19                                                317.1690156710621                                 0
0.5                                               0.7                                               20                                                317.2686948699107                                 0
0.5                                               0.7                                               21                                                318.0905876080308                                 0
0.5                                               0.7                                               22                                                318.4364090039532                                 0
0.5                                               0.7                                               23                                                318.8260285943301                                 0
0.5                                               0.7                                               24                                                319.2015008613185                                 0
0.5                                               0.7                                               25                                                319.59629362692607                                0
0.5                                               0.9                                               0                                                 319.4782600118916                                 0
0.5                                               0.9                                               1                                                 319.4174455888575                                 0
0.5                                               0.9                                               2                                                 319.3799191824325                                 0
0.5                                               0.9                                               3                                                 319.3495644713556                                 0
0.5                                               0.9                                               4                                                 319.32437113569324                                0
0.5                                               0.9                                               5                                                 319.25999969154907                                0
0.5                                               0.9                                               6                                                 319.03091043064666                                0
0.5                                               0.9                                               7                                                 318.8400519326607                                 0
0.5                                               0.9                                               8                                                 318.68455516937155                                0
0.5                                               0.9                                               9.000000000000002                                 318.54000425663855                                0
0.5                                               0.9                                               10                                                318.38566475451586                                0
0.5                                               0.9                                               11                                                318.1524731622537                                 0
0.5                                               0.9                                               12                                                317.75781898134284                                0
0.5                                               0.9                                               13.000000000000002                                317.35433221249406                                0
0.5                                               0.9                                               14                                                317.02838320664233                                0
0.5                                               0.9                                               15                                                317.26156856392106                                0
0.5                                               0.9                                               16                                                317.56664694613113                                0
0.5                                               0.9                                               17                                                317.64598716614864                                0
0.5                                               0.9                                               18.000000000000004                                317.46507798133524                                0
0.5                                               0.9                                               19                                                317.1690156710621                                 0
0.5                                               0.9                                               20                                                317.2686948699107                                 0
0.5                                               0.9                                               21                                                318.0905876080308                                 0
0.5                                               0.9                                               22                                                318.4364090039532                                 0
0.5                                               0.9                                               23                                                318.8260285943301                                 0
0.5                                               0.9                                               24                                                319.2015008613185                                 0
0.5                                               0.9                                               25                                                319.59629362692607                                0
