time,hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16
103,0.028611111,468.084,293.467,323.83,293.863,291.606,298.316,298.09,562.77,423.212,346.235,373.046,480.996,293.554,293.341,293.502,293.384
104,0.028888889,468.084,293.467,323.83,293.863,291.606,298.316,298.09,562.77,423.212,346.235,373.046,480.996,293.554,293.341,293.502,293.384
105,0.029166667,468.084,293.467,323.83,293.863,291.606,298.316,298.09,562.77,423.212,346.235,373.046,480.996,293.554,293.341,293.502,293.384
106,0.029444444,474.991,293.467,325.714,293.899,291.622,298.308,298.098,572.717,430.296,349.757,377.415,489.006,293.563,293.344,293.503,293.4
107,0.029722222,474.991,293.467,325.714,293.899,291.622,298.308,298.098,572.717,430.296,349.757,377.415,489.006,293.563,293.344,293.503,293.4
108,0.03,474.991,293.467,325.714,293.899,291.622,298.308,298.098,572.717,430.296,349.757,377.415,489.006,293.563,293.344,293.503,293.4
109,0.030277778,474.991,293.467,325.714,293.899,291.622,298.308,298.098,572.717,430.296,349.757,377.415,489.006,293.563,293.344,293.503,293.4
110,0.030555556,481.632,293.462,327.493,293.933,291.628,298.296,298.088,582.301,437.334,353.249,381.739,496.85,293.562,293.348,293.509,293.395
111,0.030833333,481.632,293.462,327.493,293.933,291.628,298.296,298.088,582.301,437.334,353.249,381.739,496.85,293.562,293.348,293.509,293.395
112,0.031111111,481.632,293.462,327.493,293.933,291.628,298.296,298.088,582.301,437.334,353.249,381.739,496.85,293.562,293.348,293.509,293.395
113,0.031388889,487.976,293.459,329.278,293.96,291.642,298.294,298.081,591.591,444.319,356.703,386.1,504.608,293.552,293.349,293.506,293.389
114,0.031666667,487.976,293.459,329.278,293.96,291.642,298.294,298.081,591.591,444.319,356.703,386.1,504.608,293.552,293.349,293.506,293.389
115,0.031944444,487.976,293.459,329.278,293.96,291.642,298.294,298.081,591.591,444.319,356.703,386.1,504.608,293.552,293.349,293.506,293.389
116,0.032222222,487.976,293.459,329.278,293.96,291.642,298.294,298.081,591.591,444.319,356.703,386.1,504.608,293.552,293.349,293.506,293.389
117,0.0325,494.166,293.473,330.935,294.01,291.662,298.296,298.085,600.736,451.313,360.159,390.32,512.335,293.577,293.359,293.514,293.402
118,0.032777778,494.166,293.473,330.935,294.01,291.662,298.296,298.085,600.736,451.313,360.159,390.32,512.335,293.577,293.359,293.514,293.402
119,0.033055556,494.166,293.473,330.935,294.01,291.662,298.296,298.085,600.736,451.313,360.159,390.32,512.335,293.577,293.359,293.514,293.402
120,0.033333333,500.499,293.456,332.515,294.033,291.665,298.278,298.08,609.808,458.141,363.508,394.338,519.73,293.567,293.356,293.508,293.397
121,0.033611111,500.499,293.456,332.515,294.033,291.665,298.278,298.08,609.808,458.141,363.508,394.338,519.73,293.567,293.356,293.508,293.397
122,0.033888889,500.499,293.456,332.515,294.033,291.665,298.278,298.08,609.808,458.141,363.508,394.338,519.73,293.567,293.356,293.508,293.397
123,0.034166667,500.499,293.456,332.515,294.033,291.665,298.278,298.08,609.808,458.141,363.508,394.338,519.73,293.567,293.356,293.508,293.397
124,0.034444444,506.845,293.464,334.005,294.089,291.679,298.276,298.076,618.976,465.172,366.963,398.584,527.434,293.579,293.368,293.517,293.398
125,0.034722222,506.845,293.464,334.005,294.089,291.679,298.276,298.076,618.976,465.172,366.963,398.584,527.434,293.579,293.368,293.517,293.398
126,0.035,506.845,293.464,334.005,294.089,291.679,298.276,298.076,618.976,465.172,366.963,398.584,527.434,293.579,293.368,293.517,293.398
127,0.035277778,512.935,293.47,335.516,294.124,291.695,298.288,298.076,627.722,472.036,370.294,402.634,534.868,293.6,293.372,293.52,293.4
128,0.035555556,512.935,293.47,335.516,294.124,291.695,298.288,298.076,627.722,472.036,370.294,402.634,534.868,293.6,293.372,293.52,293.4
129,0.035833333,512.935,293.47,335.516,294.124,291.695,298.288,298.076,627.722,472.036,370.294,402.634,534.868,293.6,293.372,293.52,293.4
130,0.036111111,512.935,293.47,335.516,294.124,291.695,298.288,298.076,627.722,472.036,370.294,402.634,534.868,293.6,293.372,293.52,293.4
131,0.036388889,519.069,293.459,337.093,294.165,291.713,298.277,298.08,636.35,478.849,373.598,406.65,542.165,293.594,293.372,293.522,293.391
132,0.036666667,519.069,293.459,337.093,294.165,291.713,298.277,298.08,636.35,478.849,373.598,406.65,542.165,293.594,293.372,293.522,293.391
133,0.036944444,519.069,293.459,337.093,294.165,291.713,298.277,298.08,636.35,478.849,373.598,406.65,542.165,293.594,293.372,293.522,293.391
134,0.037222222,524.88,293.473,338.589,294.213,291.74,298.278,298.078,644.563,485.501,376.824,410.542,549.282,293.596,293.384,293.518,293.399
135,0.0375,524.88,293.473,338.589,294.213,291.74,298.278,298.078,644.563,485.501,376.824,410.542,549.282,293.596,293.384,293.518,293.399
136,0.037777778,524.88,293.473,338.589,294.213,291.74,298.278,298.078,644.563,485.501,376.824,410.542,549.282,293.596,293.384,293.518,293.399
137,0.038055556,524.88,293.473,338.589,294.213,291.74,298.278,298.078,644.563,485.501,376.824,410.542,549.282,293.596,293.384,293.518,293.399
138,0.038333333,530.618,293.459,340.138,294.249,291.744,298.271,298.07,652.488,492.261,380.068,414.439,556.437,293.6,293.382,293.515,293.407
139,0.038611111,530.618,293.459,340.138,294.249,291.744,298.271,298.07,652.488,492.261,380.068,414.439,556.437,293.6,293.382,293.515,293.407
140,0.038888889,530.618,293.459,340.138,294.249,291.744,298.271,298.07,652.488,492.261,380.068,414.439,556.437,293.6,293.382,293.515,293.407
141,0.039166667,536.367,293.47,341.682,294.305,291.763,298.27,298.079,660.421,498.919,383.277,418.26,563.477,293.612,293.392,293.511,293.411
142,0.039444444,536.367,293.47,341.682,294.305,291.763,298.27,298.079,660.421,498.919,383.277,418.26,563.477,293.612,293.392,293.511,293.411
143,0.039722222,536.367,293.47,341.682,294.305,291.763,298.27,298.079,660.421,498.919,383.277,418.26,563.477,293.612,293.392,293.511,293.411
144,0.04,536.367,293.47,341.682,294.305,291.763,298.27,298.079,660.421,498.919,383.277,418.26,563.477,293.612,293.392,293.511,293.411
145,0.040277778,542.134,293.471,343.05,294.35,291.781,298.29,298.084,668.249,505.512,386.449,422.07,570.408,293.626,293.404,293.52,293.42
146,0.040555556,542.134,293.471,343.05,294.35,291.781,298.29,298.084,668.249,505.512,386.449,422.07,570.408,293.626,293.404,293.52,293.42
147,0.040833333,542.134,293.471,343.05,294.35,291.781,298.29,298.084,668.249,505.512,386.449,422.07,570.408,293.626,293.404,293.52,293.42
148,0.041111111,547.746,293.471,344.582,294.394,291.793,298.282,298.084,675.702,511.938,389.541,425.735,577.13,293.626,293.395,293.525,293.404
149,0.041388889,547.746,293.471,344.582,294.394,291.793,298.282,298.084,675.702,511.938,389.541,425.735,577.13,293.626,293.395,293.525,293.404
150,0.041666667,547.746,293.471,344.582,294.394,291.793,298.282,298.084,675.702,511.938,389.541,425.735,577.13,293.626,293.395,293.525,293.404
151,0.041944444,547.746,293.471,344.582,294.394,291.793,298.282,298.084,675.702,511.938,389.541,425.735,577.13,293.626,293.395,293.525,293.404
152,0.042222222,553.864,293.478,346.181,294.452,291.824,298.291,298.1,683.317,518.444,392.663,429.429,583.865,293.632,293.416,293.529,293.424
153,0.0425,553.864,293.478,346.181,294.452,291.824,298.291,298.1,683.317,518.444,392.663,429.429,583.865,293.632,293.416,293.529,293.424
154,0.042777778,553.864,293.478,346.181,294.452,291.824,298.291,298.1,683.317,518.444,392.663,429.429,583.865,293.632,293.416,293.529,293.424
155,0.043055556,559.593,293.478,347.703,294.507,291.835,298.295,298.102,690.557,524.809,395.73,433.103,590.487,293.639,293.412,293.525,293.416
156,0.043333333,559.593,293.478,347.703,294.507,291.835,298.295,298.102,690.557,524.809,395.73,433.103,590.487,293.639,293.412,293.525,293.416
157,0.043611111,559.593,293.478,347.703,294.507,291.835,298.295,298.102,690.557,524.809,395.73,433.103,590.487,293.639,293.412,293.525,293.416
158,0.043888889,559.593,293.478,347.703,294.507,291.835,298.295,298.102,690.557,524.809,395.73,433.103,590.487,293.639,293.412,293.525,293.416
159,0.044166667,565.004,293.478,349.145,294.561,291.859,298.298,298.097,697.215,530.932,398.675,436.564,596.815,293.641,293.423,293.531,293.417
160,0.044444444,565.004,293.478,349.145,294.561,291.859,298.298,298.097,697.215,530.932,398.675,436.564,596.815,293.641,293.423,293.531,293.417
161,0.044722222,565.004,293.478,349.145,294.561,291.859,298.298,298.097,697.215,530.932,398.675,436.564,596.815,293.641,293.423,293.531,293.417
162,0.045,570.898,293.487,350.706,294.617,291.884,298.293,298.109,704.055,537.137,401.675,440.089,603.235,293.658,293.44,293.546,293.428
163,0.045277778,570.898,293.487,350.706,294.617,291.884,298.293,298.109,704.055,537.137,401.675,440.089,603.235,293.658,293.44,293.546,293.428
