% Model:              Cav_Hex_validation_v7.0 - full receiver.mph
% Version:            COMSOL 6.0.0.354
% Date:               Apr 14 2025, 10:47
% Table:              T03 (gas) - exp. 67 - 
% Time (hr)                                       T03 (K)
0.186944594                                       550.509
0.187222372                                       550.509
0.18750015                                        550.509
0.187777928                                       551.407
0.188055706                                       551.407
0.188333484                                       551.407
0.188611262                                       551.407
0.18888904                                        552.304
0.189166818                                       552.304
0.189444596                                       552.304
0.189722374                                       553.243
0.190000152                                       553.243
0.19027793                                        553.243
0.190555708                                       554.145
0.190833486                                       554.145
0.191111264                                       554.145
0.191389042                                       554.145
0.19166682                                        555.115
0.191944598                                       555.115
0.192222376                                       555.115
0.192500154                                       555.942
0.192777932                                       555.942
0.19305571                                        555.942
0.193333488                                       555.942
0.193611266                                       556.95
0.193889044                                       556.95
0.194166822                                       556.95
0.1944446                                         557.725
0.194722378                                       557.725
0.195000156                                       557.725
0.195277934                                       557.725
0.195555712                                       558.656
0.19583349                                        558.656
0.196111268                                       558.656
0.196389046                                       559.512
0.196666824                                       559.512
0.196944602                                       559.512
0.19722238                                        559.512
0.197500158                                       560.412
0.197777936                                       560.412
0.198055714                                       560.412
0.198333492                                       561.283
0.19861127                                        561.283
0.198889048                                       561.283
0.199166826                                       561.283
0.199444604                                       562.067
0.199722382                                       562.067
0.20000016                                        562.067
0.200277938                                       562.942
0.200555716                                       562.942
0.200833494                                       562.942
0.201111272                                       562.942
0.20138905                                        563.792
0.201666828                                       563.792
0.201944606                                       563.792
0.202222384                                       564.601
0.202500162                                       564.601
0.20277794                                        564.601
0.203055718                                       564.601
0.203333496                                       565.423
0.203611274                                       565.423
0.203889052                                       565.423
0.20416683                                        566.286
0.204444608                                       566.286
0.204722386                                       566.286
0.205000164                                       566.286
0.205277942                                       567.243
0.20555572                                        567.243
0.205833498                                       567.243
0.206111276                                       567.864
0.206389054                                       567.864
0.206666832                                       567.864
0.20694461                                        567.864
0.207222388                                       568.64
0.207500166                                       568.64
0.207777944                                       568.64
0.208055722                                       569.475
0.2083335                                         569.475
0.208611278                                       569.475
0.208889056                                       569.475
0.209166834                                       570.231
0.209444612                                       570.231
0.20972239                                        570.231
0.210000168                                       571.186
0.210277946                                       571.186
0.210555724                                       571.186
0.210833502                                       571.186
0.21111128                                        571.944
0.211389058                                       571.944
0.211666836                                       571.944
0.211944614                                       572.666
0.212222392                                       572.666
0.21250017                                        572.666
0.212777948                                       572.666
0.213055726                                       573.495
0.213333504                                       573.495
0.213611282                                       573.495
0.21388906                                        574.229
0.214166838                                       574.229
0.214444616                                       574.229
0.214722394                                       574.229
0.215000172                                       575.093
0.21527795                                        575.093
0.215555728                                       575.093
0.215833506                                       575.958
