time,hour,T2,T3,T8,T9,T10,T11,T12,T13
117,0.0325,293.433,339,585.905,458.894,366.407,400.965,514.834,293.559
118,0.032777778,293.455,341.837,594.402,466.2,370.202,405.609,522.595,293.582
119,0.033055556,293.455,341.837,594.402,466.2,370.202,405.609,522.595,293.582
120,0.033333333,293.455,341.837,594.402,466.2,370.202,405.609,522.595,293.582
121,0.033611111,293.455,341.837,594.402,466.2,370.202,405.609,522.595,293.582
122,0.033888889,293.455,342.962,602.868,473.61,374.075,410.325,530.484,293.591
123,0.034166667,293.455,342.962,602.868,473.61,374.075,410.325,530.484,293.591
124,0.034444444,293.455,342.962,602.868,473.61,374.075,410.325,530.484,293.591
125,0.034722222,293.453,343.979,611.263,480.945,377.876,414.942,538.204,293.597
126,0.035,293.453,343.979,611.263,480.945,377.876,414.942,538.204,293.597
127,0.035277778,293.453,343.979,611.263,480.945,377.876,414.942,538.204,293.597
128,0.035555556,293.453,343.979,611.263,480.945,377.876,414.942,538.204,293.597
129,0.035833333,293.458,345.431,619.443,488.126,381.617,419.394,545.717,293.6
130,0.036111111,293.458,345.431,619.443,488.126,381.617,419.394,545.717,293.6
131,0.036388889,293.458,345.431,619.443,488.126,381.617,419.394,545.717,293.6
132,0.036666667,293.453,346.39,627.62,495.322,385.37,423.893,553.28,293.61
133,0.036944444,293.453,346.39,627.62,495.322,385.37,423.893,553.28,293.61
134,0.037222222,293.453,346.39,627.62,495.322,385.37,423.893,553.28,293.61
135,0.0375,293.453,346.39,627.62,495.322,385.37,423.893,553.28,293.61
136,0.037777778,293.476,347.664,635.343,502.441,389.079,428.322,560.685,293.619
137,0.038055556,293.476,347.664,635.343,502.441,389.079,428.322,560.685,293.619
138,0.038333333,293.476,347.664,635.343,502.441,389.079,428.322,560.685,293.619
139,0.038611111,293.464,349.681,642.739,509.293,392.656,432.576,567.822,293.61
140,0.038888889,293.464,349.681,642.739,509.293,392.656,432.576,567.822,293.61
141,0.039166667,293.464,349.681,642.739,509.293,392.656,432.576,567.822,293.61
142,0.039444444,293.464,349.681,642.739,509.293,392.656,432.576,567.822,293.61
143,0.039722222,293.464,351.132,650.247,516.161,396.245,436.801,574.936,293.624
144,0.04,293.464,351.132,650.247,516.161,396.245,436.801,574.936,293.624
145,0.040277778,293.464,351.132,650.247,516.161,396.245,436.801,574.936,293.624
146,0.040555556,293.471,352.616,657.413,523.092,399.877,441.153,582.165,293.638
147,0.040833333,293.471,352.616,657.413,523.092,399.877,441.153,582.165,293.638
148,0.041111111,293.471,352.616,657.413,523.092,399.877,441.153,582.165,293.638
149,0.041388889,293.471,352.616,657.413,523.092,399.877,441.153,582.165,293.638
150,0.041666667,293.471,354.489,664.299,529.854,403.433,445.365,589.177,293.656
151,0.041944444,293.471,354.489,664.299,529.854,403.433,445.365,589.177,293.656
152,0.042222222,293.471,354.489,664.299,529.854,403.433,445.365,589.177,293.656
153,0.0425,293.469,356.058,671.747,536.614,406.978,449.545,596.132,293.655
154,0.042777778,293.469,356.058,671.747,536.614,406.978,449.545,596.132,293.655
155,0.043055556,293.469,356.058,671.747,536.614,406.978,449.545,596.132,293.655
156,0.043333333,293.469,356.058,671.747,536.614,406.978,449.545,596.132,293.655
157,0.043611111,293.463,357.663,679.044,543.327,410.489,453.699,602.982,293.659
158,0.043888889,293.463,357.663,679.044,543.327,410.489,453.699,602.982,293.659
159,0.044166667,293.463,357.663,679.044,543.327,410.489,453.699,602.982,293.659
160,0.044444444,293.471,359.105,685.87,549.829,413.88,457.639,609.612,293.669
161,0.044722222,293.471,359.105,685.87,549.829,413.88,457.639,609.612,293.669
162,0.045,293.471,359.105,685.87,549.829,413.88,457.639,609.612,293.669
163,0.045277778,293.471,359.105,685.87,549.829,413.88,457.639,609.612,293.669
164,0.045555556,293.487,360.718,692.531,556.438,417.292,461.773,616.268,293.69
165,0.045833333,293.487,360.718,692.531,556.438,417.292,461.773,616.268,293.69
166,0.046111111,293.487,360.718,692.531,556.438,417.292,461.773,616.268,293.69
167,0.046388889,293.48,362.355,698.798,562.794,420.565,465.686,622.733,293.683
168,0.046666667,293.48,362.355,698.798,562.794,420.565,465.686,622.733,293.683
169,0.046944444,293.48,362.355,698.798,562.794,420.565,465.686,622.733,293.683
170,0.047222222,293.48,362.355,698.798,562.794,420.565,465.686,622.733,293.683
171,0.0475,293.482,363.983,705.435,569.271,423.951,469.727,629.314,293.702
172,0.047777778,293.482,363.983,705.435,569.271,423.951,469.727,629.314,293.702
173,0.048055556,293.482,363.983,705.435,569.271,423.951,469.727,629.314,293.702
174,0.048333333,293.489,365.853,711.744,575.514,427.206,473.56,635.674,293.694
175,0.048611111,293.489,365.853,711.744,575.514,427.206,473.56,635.674,293.694
176,0.048888889,293.489,365.853,711.744,575.514,427.206,473.56,635.674,293.694
177,0.049166667,293.489,365.853,711.744,575.514,427.206,473.56,635.674,293.694
178,0.049444444,293.497,367.64,717.011,581.544,430.336,477.317,641.754,293.724
179,0.049722222,293.497,367.64,717.011,581.544,430.336,477.317,641.754,293.724
180,0.05,293.497,367.64,717.011,581.544,430.336,477.317,641.754,293.724
181,0.050277778,293.494,369.39,722.277,587.663,433.411,480.949,647.73,293.726
182,0.050555556,293.494,369.39,722.277,587.663,433.411,480.949,647.73,293.726
183,0.050833333,293.494,369.39,722.277,587.663,433.411,480.949,647.73,293.726
184,0.051111111,293.484,371.301,727.778,593.932,436.529,484.65,653.693,293.72
185,0.051388889,293.484,371.301,727.778,593.932,436.529,484.65,653.693,293.72
186,0.051666667,293.484,371.301,727.778,593.932,436.529,484.65,653.693,293.72
187,0.051944444,293.484,371.301,727.778,593.932,436.529,484.65,653.693,293.72
188,0.052222222,293.506,373.029,733.428,600.09,439.593,488.292,659.517,293.745
189,0.0525,293.506,373.029,733.428,600.09,439.593,488.292,659.517,293.745
190,0.052777778,293.506,373.029,733.428,600.09,439.593,488.292,659.517,293.745
191,0.053055556,293.498,374.752,738.976,606.283,442.68,491.941,665.406,293.749
192,0.053333333,293.498,374.752,738.976,606.283,442.68,491.941,665.406,293.749
193,0.053611111,293.498,374.752,738.976,606.283,442.68,491.941,665.406,293.749
194,0.053888889,293.498,374.752,738.976,606.283,442.68,491.941,665.406,293.749
195,0.054166667,293.499,376.389,743.809,612.209,445.68,495.483,671.075,293.761
196,0.054444444,293.499,376.389,743.809,612.209,445.68,495.483,671.075,293.761
197,0.054722222,293.499,376.389,743.809,612.209,445.68,495.483,671.075,293.761
198,0.055,293.509,378.137,748.841,618.247,448.715,499.078,676.791,293.765
199,0.055277778,293.509,378.137,748.841,618.247,448.715,499.078,676.791,293.765
200,0.055555556,293.509,378.137,748.841,618.247,448.715,499.078,676.791,293.765
201,0.055833333,293.509,378.137,748.841,618.247,448.715,499.078,676.791,293.765
202,0.056111111,293.508,379.723,753.781,623.994,451.619,502.468,682.239,293.773
203,0.056388889,293.508,379.723,753.781,623.994,451.619,502.468,682.239,293.773
204,0.056666667,293.508,379.723,753.781,623.994,451.619,502.468,682.239,293.773
205,0.056944444,293.505,381.472,758.697,629.603,454.529,505.95,687.715,293.773
206,0.057222222,293.505,381.472,758.697,629.603,454.529,505.95,687.715,293.773
207,0.0575,293.505,381.472,758.697,629.603,454.529,505.95,687.715,293.773
208,0.057777778,293.505,381.472,758.697,629.603,454.529,505.95,687.715,293.773
209,0.058055556,293.513,382.878,763.526,635.28,457.439,509.393,693.105,293.791
210,0.058333333,293.513,382.878,763.526,635.28,457.439,509.393,693.105,293.791
211,0.058611111,293.513,382.878,763.526,635.28,457.439,509.393,693.105,293.791
