variant,simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
initial_2D_model,E68,15.862499999999999,95.9,1709.728201884053,1701.8099549528,255.42045305176345
initial_2D_model,E68,15.862499999999999,105.03333333333335,1714.4411026700245,1707.3220861058417,256.1290037566803
initial_2D_model,E68,15.862499999999999,114.16666666666667,1718.584923685576,1712.2819831988947,256.76002688951246
initial_2D_model,E68,15.862499999999999,123.30000000000001,1722.2010518149575,1716.6765254173101,257.3154105764695
initial_2D_model,E68,15.862499999999999,132.4333333333333,1725.3771035348113,1720.5307892059839,257.80291459605644
initial_2D_model,E68,19.3875,4.566666666666666,1589.9028972486499,298.7555,228.34760129961433
initial_2D_model,E68,19.3875,13.700000000000001,1609.6099060802865,1153.2413292963597,211.51892737490104
initial_2D_model,E68,19.3875,22.833333333333336,1624.132626703676,1431.4289653593705,231.00538778276422
initial_2D_model,E68,19.3875,31.966666666666665,1638.187912735147,1553.7196175729764,240.2833187679614
initial_2D_model,E68,19.3875,41.099999999999994,1651.7426229557914,1608.2066683922135,244.95185867077393
initial_2D_model,E68,19.3875,50.233333333333334,1664.454885572279,1636.5002394171634,247.7756311231573
initial_2D_model,E68,19.3875,59.36666666666667,1676.1299749489938,1654.7450940091303,249.84019653739557
initial_2D_model,E68,19.3875,68.5,1686.6746119486006,1668.7437995678106,251.53609329656186
initial_2D_model,E68,19.3875,77.63333333333333,1696.0432139365691,1680.509251493856,252.99791231815055
initial_2D_model,E68,19.3875,86.76666666666667,1704.2131201596271,1690.722179847539,254.27043500451828
initial_2D_model,E68,19.3875,95.9,1711.1774720573155,1699.6067861012202,255.36821981797863
initial_2D_model,E68,19.3875,105.03333333333335,1716.9477220024705,1707.2375456927036,256.2968744046534
initial_2D_model,E68,19.3875,114.16666666666667,1721.5627075552218,1713.6487987450816,257.06122619994414
initial_2D_model,E68,19.3875,123.30000000000001,1725.1036263234416,1718.8789772129344,257.66940116668854
initial_2D_model,E68,19.3875,132.4333333333333,1727.7145103319965,1722.9957913778833,258.1359729470885
initial_2D_model,E68,22.912499999999998,4.566666666666666,1552.292776300094,298.7555,225.81092880436466
initial_2D_model,E68,22.912499999999998,13.700000000000001,1579.1512655606218,1086.3769694774055,205.1839028008048
initial_2D_model,E68,22.912499999999998,22.833333333333336,1601.75696645561,1367.3670761482542,225.1857053780954
initial_2D_model,E68,22.912499999999998,31.966666666666665,1622.899679366108,1507.2629268260025,236.06796051480651
initial_2D_model,E68,22.912499999999998,41.099999999999994,1642.3900639568228,1577.7701317059555,242.21904597034134
initial_2D_model,E68,22.912499999999998,50.233333333333334,1659.9885440088055,1617.6005782156017,246.1657182278768
initial_2D_model,E68,22.912499999999998,59.36666666666667,1675.6306922325616,1643.8971123807241,249.05681469283684
initial_2D_model,E68,22.912499999999998,68.5,1689.3383515935143,1663.6722700173686,251.3696337760651
initial_2D_model,E68,22.912499999999998,77.63333333333333,1701.1539946067705,1679.721212818139,253.2970676545382
initial_2D_model,E68,22.912499999999998,86.76666666666667,1711.1120736072428,1693.1598468569912,254.91707012206874
initial_2D_model,E68,22.912499999999998,95.9,1719.2308603771341,1704.4411686984054,256.26130165082884
initial_2D_model,E68,22.912499999999998,105.03333333333335,1725.5152530188445,1713.751754101457,257.34241275354077
initial_2D_model,E68,22.912499999999998,114.16666666666667,1729.9683507760515,1721.1676264443322,258.1654961973144
initial_2D_model,E68,22.912499999999998,123.30000000000001,1732.6155122022037,1726.721513072501,258.73433964036104
initial_2D_model,E68,22.912499999999998,132.4333333333333,1733.5520526268401,1730.4436863410638,259.0575182517815
initial_2D_model,E68,26.4375,4.566666666666666,1538.014875291169,298.7555,224.84388788378465
initial_2D_model,E68,26.4375,13.700000000000001,1570.9742870043094,1043.504202178371,201.88977782945497
initial_2D_model,E68,26.4375,22.833333333333336,1599.4967470874699,1328.2330288963867,222.41745963696292
initial_2D_model,E68,26.4375,31.966666666666665,1625.4570739036456,1482.1225339620216,234.5317566514367
initial_2D_model,E68,26.4375,41.099999999999994,1648.8159632540464,1565.5157134169822,241.81937178965603
initial_2D_model,E68,26.4375,50.233333333333334,1669.5307052980986,1614.640186484055,246.6189746464078
initial_2D_model,E68,26.4375,59.36666666666667,1687.6796092757393,1647.276017732469,250.1220165125127
initial_2D_model,E68,26.4375,68.5,1703.3793282382576,1671.432590592271,252.87747221447484
initial_2D_model,E68,26.4375,77.63333333333333,1716.7278084668953,1690.612176243534,255.12960203931445
initial_2D_model,E68,26.4375,86.76666666666667,1727.7784235119468,1706.341564209886,256.9855510265064
initial_2D_model,E68,26.4375,95.9,1736.528680063709,1719.285793052472,258.48999606514576
initial_2D_model,E68,26.4375,105.03333333333335,1742.9120583632634,1729.7182523392273,259.6565734046616
initial_2D_model,E68,26.4375,114.16666666666667,1746.7857705380804,1737.7128075114854,260.48010331654353
initial_2D_model,E68,26.4375,123.30000000000001,1747.9079470197053,1743.2160598109147,260.9398891964207
initial_2D_model,E68,26.4375,132.4333333333333,1745.8952988462074,1746.063554298564,260.9978274333214
