variant,simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
fitted_2D_model,E81,12.3375,22.833333333333336,1063.8435396885272,1104.7207086992755,173.83343894699655
fitted_2D_model,E81,12.3375,31.966666666666665,1027.8532848619543,1066.373194264439,169.243685419561
fitted_2D_model,E81,12.3375,41.099999999999994,1000.6269046887774,1030.3766968819139,165.3475889090845
fitted_2D_model,E81,12.3375,50.233333333333334,979.1978102461662,1002.6722773493709,162.32122384160223
fitted_2D_model,E81,12.3375,59.36666666666667,961.405042822829,980.8735159564133,159.88173121959673
fitted_2D_model,E81,12.3375,68.5,946.0510963547395,962.8375622631512,157.82269523506764
fitted_2D_model,E81,12.3375,77.63333333333333,932.5719134097744,947.3183348258448,156.032536864345
fitted_2D_model,E81,12.3375,86.76666666666667,920.7655950743559,933.7102730238253,154.46168293540396
fitted_2D_model,E81,12.3375,95.9,910.6259190432173,921.7846696962207,153.09603746502617
fitted_2D_model,E81,12.3375,105.03333333333335,902.2506262331773,911.519538949921,151.94085075849657
fitted_2D_model,E81,12.3375,114.16666666666667,895.7969668779516,903.0037321907503,151.01204203459065
fitted_2D_model,E81,12.3375,123.30000000000001,891.4694402481533,896.3893918896116,150.3324484577355
fitted_2D_model,E81,12.3375,132.4333333333333,889.5340613931962,891.8773512209021,149.93171604227436
fitted_2D_model,E81,15.862499999999999,4.566666666666666,1038.1942322140392,297.84499999999997,121.28088694192417
fitted_2D_model,E81,15.862499999999999,13.700000000000001,1042.7900022649399,922.8120562524091,161.31902502744666
fitted_2D_model,E81,15.862499999999999,22.833333333333336,1027.283875458723,1030.9638937227046,167.0259994201453
fitted_2D_model,E81,15.862499999999999,31.966666666666665,1008.6120345941265,1027.6246450883973,165.66994101932704
fitted_2D_model,E81,15.862499999999999,41.099999999999994,990.7458323598175,1010.398912765736,163.5084644517613
fitted_2D_model,E81,15.862499999999999,50.233333333333334,974.2482548199919,992.6371161085472,161.39809148810235
fitted_2D_model,E81,15.862499999999999,59.36666666666667,959.0357525250494,976.0592570547493,159.43890862109336
fitted_2D_model,E81,15.862499999999999,68.5,945.0294193412301,960.7486942826656,157.63076920143297
fitted_2D_model,E81,15.862499999999999,77.63333333333333,932.252426227947,946.6428427728147,155.9710746726195
fitted_2D_model,E81,15.862499999999999,86.76666666666667,920.8083099504719,933.7566632230559,154.46719415827775
fitted_2D_model,E81,15.862499999999999,95.9,910.847672942012,922.1844190040698,153.13452845234636
fitted_2D_model,E81,15.862499999999999,105.03333333333335,902.5451639527116,912.070357716756,151.99327174391397
fitted_2D_model,E81,15.862499999999999,114.16666666666667,896.0893817485232,903.5855150224749,151.066312411078
fitted_2D_model,E81,15.862499999999999,123.30000000000001,891.6882398030557,896.9165648497955,150.378799619464
fitted_2D_model,E81,15.862499999999999,132.4333333333333,889.6003109090626,892.2695903219666,149.960220131281
fitted_2D_model,E81,19.3875,4.566666666666666,966.1011409421842,297.84499999999997,116.3562945912553
fitted_2D_model,E81,19.3875,13.700000000000001,993.0245718265419,834.6191677027653,152.80076467021397
fitted_2D_model,E81,19.3875,22.833333333333336,998.2033176530317,971.8225615382723,161.5915761025458
fitted_2D_model,E81,19.3875,31.966666666666665,992.7534914434837,994.9679919987892,162.6816609279767
fitted_2D_model,E81,19.3875,41.099999999999994,982.4522293745739,993.0221593885958,161.92723666302646
fitted_2D_model,E81,19.3875,50.233333333333334,970.0982236557705,983.7442166440582,160.5944255717584
fitted_2D_model,E81,19.3875,59.36666666666667,957.1100411187563,971.7883887080105,159.05686196312365
fitted_2D_model,E81,19.3875,68.5,944.2847737367217,958.9560192103881,157.47419610884268
fitted_2D_model,E81,19.3875,77.63333333333333,932.1295921999223,946.1590968039733,155.9336034173433
fitted_2D_model,E81,19.3875,86.76666666666667,921.00806713099,933.9496123225356,154.49148304086563
fitted_2D_model,E81,19.3875,95.9,911.2067401328193,922.7112498429279,153.18939129817016
fitted_2D_model,E81,19.3875,105.03333333333335,902.9665893902852,912.7406092966721,152.0609624799364
fitted_2D_model,E81,19.3875,114.16666666666667,896.4996755813835,904.2845247518015,151.13517288308674
fitted_2D_model,E81,19.3875,123.30000000000001,892.0045748470823,897.5591688442347,150.43837930798463
fitted_2D_model,E81,19.3875,132.4333333333333,889.705224275136,892.7658391041006,149.99759249679482
fitted_2D_model,E81,22.912499999999998,4.566666666666666,923.071700013591,297.84499999999997,113.36193350044849
fitted_2D_model,E81,22.912499999999998,13.700000000000001,961.6202730632621,778.4151956659174,147.3544653510353
fitted_2D_model,E81,22.912499999999998,22.833333333333336,979.0114808649312,931.3242217378811,157.911973183228
fitted_2D_model,E81,22.912499999999998,31.966666666666665,982.0307893930534,971.8557999581305,160.59714620713353
fitted_2D_model,E81,22.912499999999998,41.099999999999994,976.8375614787744,980.5409666445415,160.81232601063508
fitted_2D_model,E81,22.912499999999998,50.233333333333334,967.3777052787403,977.3787510930197,160.03446140346574
fitted_2D_model,E81,22.912499999999998,59.36666666666667,955.9771447575093,968.8495961651616,158.80578886542995
fitted_2D_model,E81,22.912499999999998,68.5,944.006556132626,957.89300135713,157.3914251470744
fitted_2D_model,E81,22.912499999999998,77.63333333333333,932.3052153161753,946.1002184600986,155.94081536480667
fitted_2D_model,E81,22.912499999999998,86.76666666666667,921.4202168830008,934.412886844752,154.54562611907036
fitted_2D_model,E81,22.912499999999998,95.9,911.7354558393863,923.4308535978387,153.2666932855264
fitted_2D_model,E81,22.912499999999998,105.03333333333335,903.5388308906298,913.5667162984818,152.14766104006577
fitted_2D_model,E81,22.912499999999998,114.16666666666667,897.0548652480427,905.1252370041115,151.221815652354
fitted_2D_model,E81,22.912499999999998,123.30000000000001,892.4579641620608,898.3425295409731,150.51521269522615
fitted_2D_model,E81,22.912499999999998,132.4333333333333,889.8875482598886,893.4030131370514,150.04853503817023
fitted_2D_model,E81,26.4375,4.566666666666666,904.2366398040397,297.84499999999997,112.03721671870647
fitted_2D_model,E81,26.4375,13.700000000000001,947.3548576270409,746.9475897011715,144.4929018550509
fitted_2D_model,E81,26.4375,22.833333333333336,970.1463356287777,908.8859481017233,155.97953856062946
fitted_2D_model,E81,26.4375,31.966666666666665,977.1540576840911,959.4936964613927,159.5346325637062
fitted_2D_model,E81,26.4375,41.099999999999994,974.455924786572,974.1746078352437,160.27323130558932
fitted_2D_model,E81,26.4375,50.233333333333334,966.4416471469366,974.4087611679801,159.79370039175888
fitted_2D_model,E81,26.4375,59.36666666666667,955.8452925514534,967.7828098297152,158.7318714363448
fitted_2D_model,E81,26.4375,68.5,944.3114968837065,957.8730416586652,157.4090123819108
fitted_2D_model,E81,26.4375,77.63333333333333,932.8433336336515,946.6411837141908,156.0074742609594
fitted_2D_model,E81,26.4375,86.76666666666667,922.0801293895569,935.2420862383022,154.63771841332172
fitted_2D_model,E81,26.4375,95.9,912.4551601360538,924.3952324432804,153.37097015731337
fitted_2D_model,E81,26.4375,105.03333333333335,904.2797367788286,914.578202867121,152.25629844491377
fitted_2D_model,E81,26.4375,114.16666666666667,897.7818041918193,906.1284463626839,151.32919197559252
fitted_2D_model,E81,26.4375,123.30000000000001,893.1075220850215,899.2920942711274,150.6145470698138
fitted_2D_model,E81,26.4375,132.4333333333333,890.2592034078516,894.2334824414547,150.12325642467775
