simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
E75,5.084999999999999,123.30000000000001,822.1627334864027,853.7934453714312,131.0462982608697
E75,5.084999999999999,128.78,793.0728375045285,824.2458727694822,127.74572503379015
E75,5.084999999999999,134.26,764.6775929496595,795.2518830391317,124.45723131867962
E75,8.475,2.7399999999999998,1581.1117623531584,296.71049999999997,210.9792219282615
E75,8.475,8.22,1550.3531193850279,1564.2253223834146,198.53049922746442
E75,8.475,13.700000000000001,1492.5951432255367,1550.6401951131481,195.63986064029174
E75,8.475,19.18,1435.7904790428527,1493.8559840540547,190.96081927905092
E75,8.475,24.66,1386.6296111462495,1437.1546245472732,186.51101136559245
E75,8.475,30.14,1344.8152500249525,1387.9085182953277,182.61090336237814
E75,8.475,35.62,1308.3556618421471,1345.9798152293688,179.19719750515102
E75,8.475,41.099999999999994,1275.3232536785986,1309.432473313921,176.12149542969084
E75,8.475,46.58,1244.277667581512,1276.3513646305234,173.24735194580188
E75,8.475,52.06,1214.2528894478567,1245.292476078168,170.47305464974986
E75,8.475,57.54,1184.642053430143,1215.2821720503575,167.72955470808756
E75,8.475,63.019999999999996,1155.085840286939,1185.7064891519055,164.97255544971785
E75,8.475,68.5,1125.3886233341314,1156.20067855969,162.17500942795522
E75,8.475,73.97999999999999,1095.4612356534576,1126.56528618116,159.32148203005022
E75,8.475,79.46000000000001,1065.2835987414064,1096.7085364568825,156.404296180415
E75,8.475,84.93999999999998,1034.880779851052,1066.6085754342594,153.42101454469002
E75,8.475,90.42,1004.3076877224661,1036.2892245833536,150.37283328460683
E75,8.475,95.90000000000002,973.6391892861708,1005.8044585151092,147.2635673544933
E75,8.475,101.38,942.9636362562846,975.2283698114267,144.0990122770649
E75,8.475,106.86000000000001,912.3786548402996,944.6485868982332,140.8865511695544
E75,8.475,112.33999999999999,881.9886641681383,914.1619759086967,137.63493968655558
E75,8.475,117.82000000000001,851.9040148012388,883.8720696278208,134.35425047045314
E75,8.475,123.30000000000001,822.2418516415139,853.8880905810547,131.05599237703285
E75,8.475,128.78,793.1285683973656,824.3256499889544,127.75342071664632
E75,8.475,134.26,764.70241745022,795.3089908564277,124.46196845267612
E75,11.865,2.7399999999999998,1530.63739644977,296.71049999999997,208.1327167502404
E75,11.865,8.22,1510.5173879123854,1513.633821535875,194.86041639502469
E75,11.865,13.700000000000001,1464.833111447295,1510.5859723119802,192.85791785044418
E75,11.865,19.18,1417.7511352432753,1465.874366069775,189.03721893264213
E75,11.865,24.66,1375.3951549000378,1418.9187403004478,185.25631015411204
E75,11.865,30.14,1338.0066681389594,1376.520268524872,181.8231927114269
E75,11.865,35.62,1304.3117017759068,1339.0613330402766,178.71550634457748
E75,11.865,41.099999999999994,1272.9673418822858,1305.314337461172,175.83307355756605
E75,11.865,46.58,1242.9389308727687,1273.9470892433276,173.07839056789112
E75,11.865,52.06,1213.5223047279583,1243.922831025441,170.3770168278518
E75,11.865,57.54,1184.273524097639,1214.532037276162,167.6777342994464
E75,11.865,63.019999999999996,1154.9326085879861,1185.3256285705977,164.9474862839369
E75,11.865,68.5,1125.3637279998197,1156.0396320674859,162.16616293063487
E75,11.865,73.97999999999999,1095.5133564949376,1126.5353686220121,159.32255320817652
E75,11.865,79.46000000000001,1065.3824572169215,1096.7573446211813,156.41152345089412
E75,11.865,84.93999999999998,1035.008373487224,1066.705158948143,153.43215071049917
E75,11.865,90.42,1004.453036781244,1036.4151705714828,150.38651827426222
E75,11.865,95.90000000000002,973.7951576537416,1005.9485437118022,147.2789439730204
E75,11.865,101.38,943.124929931319,975.3833244025068,144.1154841003455
E75,11.865,106.86000000000001,912.5404279414346,944.8090622495374,140.90361728864187
