variant,simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
initial_apparent_nu,E71,heating,T12_minus_T8,333.43690694959975,-351.16513090684384,0.0,0.018609668264424832
initial_apparent_nu,E71,heating,T11_minus_T8,321.96327778130524,-357.9470540763384,0.0,0.00571656614284438
initial_apparent_nu,E72,heating,T8,215.31934151150327,209.68789252687384,-300.0,0.004483293006828142
initial_apparent_nu,E72,heating,T12_wall,150.90892429896303,-158.72784003117,-50.0,0.0001652916506425079
initial_apparent_nu,E72,heating,T11_wall,186.99425911522454,-211.1955198017397,50.0,0.00018510589974279332
initial_apparent_nu,E72,heating,T3,105.57821019941777,-142.81468494231535,-1050.0,0.00037949140938251837
initial_apparent_nu,E72,heating,T2,2.8863116208757633,0.9591527811376181,-150.0,7.028684630493237e-5
initial_apparent_nu,E72,heating,T12_minus_T8,361.2424008249372,-368.4157325580438,0.0,0.14469401705857457
initial_apparent_nu,E72,heating,T11_minus_T8,396.24391952033284,-420.88341232861353,0.0,0.15140800104538477
initial_apparent_nu,E73,heating,T8,211.63362341526025,213.42130672053713,-150.0,0.0022646597224093945
initial_apparent_nu,E73,heating,T12_wall,170.4579377457483,-177.55621171926362,-150.0,9.179589053592129e-5
initial_apparent_nu,E73,heating,T11_wall,193.3622250388904,-220.3792724822806,0.0,7.899309677177413e-5
initial_apparent_nu,E73,heating,T3,119.55261463503574,-158.4631613157037,-1500.0,0.0002604183309373136
initial_apparent_nu,E73,heating,T2,3.3898506481444155,-2.5376169249413465,-200.0,7.143271639046314e-5
initial_apparent_nu,E73,heating,T12_minus_T8,377.114104503562,-390.97751843980075,0.0,0.0781380772437123
initial_apparent_nu,E73,heating,T11_minus_T8,398.60352656934737,-433.80057920281774,0.0,0.019431092879747137
initial_apparent_nu,E74,heating,T8,188.05393750897403,194.0351041263832,-150.0,0.0011651275887256294
initial_apparent_nu,E74,heating,T12_wall,162.091348946139,-167.1410797348276,-150.0,4.532190655057192e-5
initial_apparent_nu,E74,heating,T11_wall,157.98771766872352,-183.67133298638817,-50.0,2.6688732766204434e-5
initial_apparent_nu,E74,heating,T3,110.9270568578979,-147.47095142324315,-1750.0,0.00019287468052903611
initial_apparent_nu,E74,heating,T2,4.545316104358398,-6.918852649793905,0.0,2.0192307718083022e-5
initial_apparent_nu,E74,heating,T12_minus_T8,343.4776675323788,-361.1761838612108,0.0,0.034271500690511617
initial_apparent_nu,E74,heating,T11_minus_T8,337.81466742309186,-377.70643711277137,0.0,0.00510939674510621
initial_apparent_nu,E75,heating,T8,181.12840557197129,181.74532838393668,-200.0,0.0009359702365821878
initial_apparent_nu,E75,heating,T12_wall,128.31411381538993,-138.2416764815123,-350.0,3.050471339606735e-5
initial_apparent_nu,E75,heating,T11_wall,113.22924571928877,-138.5480888520749,-250.0,1.8783558786264014e-5
initial_apparent_nu,E75,heating,T3,94.87169478861152,-128.98642843646644,-2000.0,0.00019093956917664779
initial_apparent_nu,E75,heating,T2,4.3850128402427355,-6.025521906874815,0.0,1.7386548319867886e-5
initial_apparent_nu,E75,heating,T12_minus_T8,300.791607672573,-319.98700486544897,0.0,0.02072567114414867
initial_apparent_nu,E75,heating,T11_minus_T8,283.8750023094239,-320.2934172360116,0.0,0.0033151403110967034
initial_apparent_nu,E76,heating,T8,183.71802280964016,178.61483211363657,-350.0,0.0008031916818142894
initial_apparent_nu,E76,heating,T12_wall,63.14662005727733,-69.75018976199794,-550.0,3.4214099827843686e-5
initial_apparent_nu,E76,heating,T11_wall,48.08237362567256,-59.988070063017176,-450.0,2.327178511224895e-5
initial_apparent_nu,E76,heating,T3,76.66943666258496,-102.95684759630058,-2250.0,0.0001852320505330504
initial_apparent_nu,E76,heating,T2,3.7429609424871026,-2.8565158330901,-50.0,1.281010567621514e-5
