ID,Io,signal,tstar,theta
E67,456.0,wall,2.4817830790826965,0.999168881103866
E67,456.0,wall,2.4918307838563107,0.9986912551908412
E67,456.0,wall,2.501878488629925,0.9990001381937016
E67,456.0,wall,2.511926193403539,0.9992941427034168
E67,456.0,wall,2.521973898177153,0.9986016585506664
E67,456.0,wall,2.5320216029507674,0.9982940954141329
E67,456.0,wall,2.542069307724381,0.9983729731398914
E67,456.0,wall,2.5521170124979955,0.9988288983935588
E67,456.0,wall,2.5621647172716098,0.9988941603554283
E67,456.0,wall,2.572212422045224,0.9988016097287112
E67,456.0,wall,2.582260126818838,0.9994936424986052
E67,456.0,wall,2.592307831592452,0.9995130805299728
E67,456.0,wall,2.6023555363660664,0.9990915746475454
E67,456.0,wall,2.6124032411396807,0.9990017608865026
E67,456.0,wall,2.6224509459132945,0.9990261069922219
E67,456.0,wall,2.632498650686909,0.9996828747622334
E67,456.0,wall,2.642546355460523,0.999928215629045
E67,456.0,wall,2.6525940602341374,0.9998696901277815
E67,456.0,wall,2.662641765007751,0.9992682881790377
E67,456.0,wall,2.6726894697813655,0.9991310849317626
E67,456.0,wall,2.6827371745549797,0.9993715177242221
E67,456.0,wall,2.6927848793285936,0.9990815299505599
E67,456.0,wall,2.702832584102208,0.9990367402010332
E67,456.0,wall,2.712880288875822,0.9991660528188788
E67,456.0,wall,2.7229279936494364,0.9990679313277924
E67,456.0,wall,2.73297569842305,0.9985666449538935
E67,456.0,wall,2.7430234031966645,0.9989478177782894
E67,456.0,wall,2.7530711079702788,0.998960959304493
E67,456.0,wall,2.763118812743893,0.9992600204449433
E67,456.0,wall,2.773166517517507,0.9993975950831762
E67,456.0,wall,2.783214222291121,0.9992802355404691
E67,456.0,wall,2.7932619270647354,0.999491814112351
E67,456.0,wall,2.8033096318383497,0.9995846789929554
E67,456.0,wall,2.8133573366119635,1.0000264513942725
E67,456.0,wall,2.823405041385578,1.000058693843128
E67,456.0,wall,2.833452746159192,1.0004136521796005
E67,456.0,wall,2.843500450932806,1.00081465728115
E67,456.0,wall,2.85354815570642,1.0008445571101174
E67,456.0,wall,2.8635958604800344,1.0011515831581883
E67,456.0,wall,2.8736435652536487,1.0016735245830555
E67,456.0,wall,2.8836912700272626,1.0020843515470157
E67,456.0,wall,2.893738974800877,1.0023183164231004
E67,456.0,wall,2.903786679574491,1.0022481806691212
E67,456.0,wall,2.9138343843481054,1.0026769601006171
E67,456.0,wall,2.923882089121719,1.0026030361588671
E67,456.0,wall,2.9339297938953335,1.003072154362102
E67,456.0,wall,2.9439774986689478,1.00292463787361
E67,456.0,wall,2.954025203442562,1.0031523919501368
E67,456.0,wall,2.964072908216176,1.0031589627132387
E67,456.0,wall,2.97412061298979,1.0029882600015578
E67,456.0,wall,2.9841683177634044,1.0031962732202435
E67,456.0,wall,2.9942160225370182,1.003608757159247
E67,456.0,wall,3.0042637273106325,1.0032334865942285
E67,456.0,wall,3.014311432084247,1.0030224508245162
E67,456.0,wall,3.024359136857861,1.0030353523750242
E67,456.0,wall,3.034406841631475,1.002396605637033
E67,456.0,wall,3.044454546405089,1.002350136057635
E67,456.0,wall,3.0545022511787034,1.0018966619842895
E67,456.0,wall,3.0645499559523177,1.0020950704614324
E67,456.0,wall,3.0745976607259315,1.0023766419446172
E67,456.0,wall,3.084645365499546,1.0023062890697705
E67,456.0,wall,3.09469307027316,1.0022595166638988
E67,456.0,wall,3.1047407750467744,1.0022701098767606
E67,456.0,wall,3.114788479820388,1.0021649719534225
E67,456.0,wall,3.1248361845940025,1.0018916282083832
E67,456.0,wall,3.1348838893676167,1.0021506991132239
E67,456.0,wall,3.1449315941412306,1.002573164898435
E67,456.0,wall,3.154979298914845,1.0023766190897891
E67,456.0,wall,3.165027003688459,1.00231649946426
E67,456.0,wall,3.1750747084620734,1.0018058940341703
E67,456.0,wall,3.1851224132356872,1.0023529757700362
E67,456.0,wall,3.1951701180093015,1.0020034168867213
E67,456.0,wall,3.205217822782916,1.0024281967232858
E67,456.0,wall,3.21526552755653,1.0023668315096208
E67,456.0,wall,3.225313232330144,1.002676211604994
E67,456.0,wall,3.235360937103758,1.0025088514119351
E67,456.0,wall,3.2454086418773724,1.0022503233092632
E67,456.0,wall,3.2554563466509867,1.0020097762426623
E67,456.0,wall,3.2655040514246005,1.0019931207866257
E67,456.0,wall,3.275551756198215,1.0019743569726898
E67,456.0,wall,3.285599460971829,1.0019650779124483
E67,456.0,wall,3.295647165745443,1.0021245988994418
E67,456.0,wall,3.305694870519057,1.0027430791185434
E67,456.0,wall,3.3157425752926715,1.0026107610907922
E67,456.0,wall,3.3257902800662857,1.0024719408644231
E67,456.0,wall,3.3358379848398996,1.0024604791680907
E67,456.0,wall,3.345885689613514,1.0020843401196016
E67,456.0,wall,3.355933394387128,1.0019432286967076
E67,456.0,wall,3.3659810991607424,1.0025521156016808
E67,456.0,wall,3.3760288039343562,1.0025755646553942
E67,456.0,wall,3.3860765087079705,1.0029349625422408
E67,456.0,wall,3.3961242134815848,1.003218242423832
E67,456.0,wall,3.406171918255199,1.0035602992097967
E67,456.0,wall,3.416219623028813,1.0036766245715292
E67,456.0,wall,3.426267327802427,1.003688537650718
E67,456.0,wall,3.4363150325760414,1.003757262119057
E67,456.0,wall,3.4463627373496553,1.003939335107758
E67,456.0,wall,3.4564104421232695,1.0037480973329567
E67,456.0,wall,3.466458146896884,1.0038052401171154
E67,456.0,wall,3.476505851670498,1.0038056229354875
E67,456.0,wall,3.486553556444112,1.0042456697972764
E67,456.0,wall,3.496601261217726,1.0042930592835086
E67,456.0,wall,3.5066489659913405,1.00423560795917
E67,456.0,wall,3.5166966707649547,1.004270832963103
E67,456.0,wall,3.5267443755385686,1.004226111778061
E67,456.0,wall,3.536792080312183,1.0047650514813873
E67,456.0,wall,3.546839785085797,1.004647457676691
E67,456.0,wall,3.5568874898594114,1.0040355425069838
E67,456.0,wall,3.566935194633025,1.0040038600014187
E67,456.0,wall,3.5769828994066395,1.003874193133736
E67,456.0,wall,3.5870306041802538,1.0039784740010171
E67,456.0,wall,3.5970783089538676,1.0040714417283487
E67,456.0,wall,3.607126013727482,1.0039890157905156
E67,456.0,wall,3.617173718501096,1.0040685048829274
E67,456.0,wall,3.6272214232747104,1.0035441637011013
E67,456.0,wall,3.6372691280483243,1.0037218599902056
E67,456.0,wall,3.6473168328219385,1.0036965139857532
E67,456.0,wall,3.657364537595553,1.0033209863039179
E67,456.0,wall,3.667412242369167,1.0033903678485672
E67,456.0,wall,3.677459947142781,1.0036956169337468
E67,456.0,wall,3.687507651916395,1.003669808119024
E67,456.0,wall,3.6975553566900095,1.0035618076284567
E67,456.0,wall,3.7076030614636237,1.003635360179249
E67,456.0,wall,3.7176507662372376,1.0036191675334833
E67,456.0,wall,3.727698471010852,1.0036505357851606
E67,456.0,wall,3.737746175784466,1.0031986786909095
E67,456.0,wall,3.74779388055808,1.003570063935137
E67,456.0,wall,3.757841585331694,1.0033711012284112
E67,456.0,wall,3.7678892901053085,1.00329480038453
E67,456.0,wall,3.7779369948789228,1.0027839892609869
E67,456.0,wall,3.7879846996525366,1.0025105655240483
E67,456.0,wall,3.798032404426151,1.0019962461843797
E67,456.0,wall,3.808080109199765,1.0016751358484426
E67,456.0,wall,3.8181278139733794,1.0017636354568646
E67,456.0,wall,3.8281755187469932,1.0017906555774811
E67,456.0,wall,3.8382232235206075,1.0018448043791477
E67,456.0,wall,3.848270928294222,1.0021787191325733
E67,456.0,wall,3.858318633067836,1.002584769437444
E67,456.0,wall,3.86836633784145,1.0026676353307193
E67,456.0,wall,3.878414042615064,1.002753363791225
E67,456.0,wall,3.8884617473886784,1.0027028203387034
E67,456.0,wall,3.8985094521622923,1.0020318140107356
E67,456.0,wall,3.9085571569359066,1.0021157026575724
E67,456.0,wall,3.918604861709521,1.0018504266668802
E67,456.0,wall,3.928652566483135,1.0017108865134239
E67,456.0,wall,3.938700271256749,1.0019521706482333
E67,456.0,wall,3.948747976030363,1.0020000343721502
E67,456.0,wall,3.9587956808039775,1.0023510788192973
E67,456.0,wall,3.9688433855775918,1.0026020591149625
E67,456.0,wall,3.9788910903512056,1.002469495397808
E67,456.0,wall,3.98893879512482,1.0028679750408436
E67,456.0,wall,3.998986499898434,1.002844000326082
E67,456.0,wall,4.009034204672048,1.0033033195217342
E67,456.0,wall,4.019081909445663,1.0033411842583224
E67,456.0,wall,4.0291296142192765,1.0033441039626223
E67,456.0,wall,4.03917731899289,1.0033624849581866
E67,456.0,wall,4.049225023766505,1.0035140524649735
E67,456.0,wall,4.059272728540119,1.003530096554356
E67,456.0,wall,4.069320433313733,1.003494237328941
E67,456.0,wall,4.079368138087347,1.003546534889525
E67,456.0,wall,4.089415842860961,1.0042449098742394
E67,456.0,wall,4.099463547634576,1.0042962989554032
E67,456.0,wall,4.10951125240819,1.0041065238896059
E67,456.0,wall,4.119558957181804,1.0041332811796986
E67,456.0,wall,4.129606661955418,1.003805828628941
E67,456.0,wall,4.139654366729032,1.003763707180604
E67,456.0,wall,4.149702071502646,1.0036268296146307
E67,456.0,wall,4.159749776276261,1.0036861436074662
E67,456.0,wall,4.169797481049875,1.0033262657692275
E67,456.0,wall,4.179845185823489,1.0029683934421623
E67,456.0,wall,4.189892890597103,1.002676400157327
E67,456.0,wall,4.199940595370717,1.002825893588456
E67,456.0,wall,4.209988300144332,1.0029374708596337
E67,456.0,wall,4.2200360049179455,1.0029956192562322
E67,456.0,wall,4.230083709691559,1.0028970121000467
E67,456.0,wall,4.240131414465174,1.0027952224090375
E67,456.0,wall,4.250179119238788,1.0025110340480263
E67,456.0,wall,4.260226824012402,1.0019438114948263
E67,456.0,wall,4.270274528786016,1.0013297936809264
E67,456.0,wall,4.28032223355963,1.0012313407948317
E67,456.0,wall,4.290369938333245,1.0007782266850305
E67,456.0,wall,4.300417643106859,1.0003674111484842
E67,456.0,wall,4.310465347880473,0.9999418428203479
E67,456.0,wall,4.320513052654087,0.9998091191193959
E67,456.0,wall,4.330560757427701,0.9994163074737491
E67,456.0,wall,4.340608462201315,0.9992905887776349
E67,456.0,wall,4.35065616697493,0.9991102984655323
E67,456.0,wall,4.360703871748544,0.9990998423816395
E67,456.0,wall,4.370751576522157,0.9991278852558172
E67,456.0,wall,4.380799281295772,0.9990213417605462
E67,456.0,gas,0.0,0.0
E67,456.0,gas,0.010047704773614156,-0.000132795100735252
E67,456.0,gas,0.020095409547228313,-0.00019062522524895153
E67,456.0,gas,0.03014311432084247,-0.0002313204980549198
E67,456.0,gas,0.040190819094456626,0.0018527058409027791
E67,456.0,gas,0.05023852386807078,0.0035511980164356113
E67,456.0,gas,0.06028622864168494,0.008854434619990793
E67,456.0,gas,0.07033393341529909,0.019373091712098833
E67,456.0,gas,0.08038163818891325,0.027754176053662438
E67,456.0,gas,0.0904293429625274,0.042211707182094375
E67,456.0,gas,0.10047704773614156,0.05234054639785059
E67,456.0,gas,0.11052475250975571,0.06576570271088925
E67,456.0,gas,0.12057245728336988,0.07976059284321135
E67,456.0,gas,0.13062016205698404,0.09063051439532879
E67,456.0,gas,0.14066786683059818,0.10129481772695285
E67,456.0,gas,0.15071557160421234,0.1064588336603824
E67,456.0,gas,0.1607632763778265,0.11661551701016369
E67,456.0,gas,0.17081098115144064,0.1271663019492239
E67,456.0,gas,0.1808586859250548,0.13369253859342117
E67,456.0,gas,0.19090639069866897,0.14414051442223463
E67,456.0,gas,0.20095409547228313,0.15197328350914963
E67,456.0,gas,0.21100180024589726,0.163515747990797
E67,456.0,gas,0.22104950501951143,0.17445635080620878
E67,456.0,gas,0.2310972097931256,0.18159944211188597
E67,456.0,gas,0.24114491456673975,0.19080728304834949
E67,456.0,gas,0.2511926193403539,0.19750272635316113
E67,456.0,gas,0.2612403241139681,0.20799139745478057
E67,456.0,gas,0.2712880288875822,0.21431629959141155
E67,456.0,gas,0.28133573366119635,0.22141227005489225
E67,456.0,gas,0.2913834384348105,0.2302195838326867
E67,456.0,gas,0.3014311432084247,0.23601544742284034
E67,456.0,gas,0.31147884798203884,0.2455167226947994
E67,456.0,gas,0.321526552755653,0.2511219610597041
E67,456.0,gas,0.33157425752926717,0.259372392156996
E67,456.0,gas,0.3416219623028813,0.2706878198535153
E67,456.0,gas,0.35166966707649544,0.28025549267584215
E67,456.0,gas,0.3617173718501096,0.28982744921109566
E67,456.0,gas,0.37176507662372377,0.29634297657297576
E67,456.0,gas,0.38181278139733793,0.30642041123360864
E67,456.0,gas,0.3918604861709521,0.3119870961821708
E67,456.0,gas,0.40190819094456626,0.3203767479495883
E67,456.0,gas,0.41195589571818036,0.3282009496106494
E67,456.0,gas,0.42200360049179453,0.3342302755553212
E67,456.0,gas,0.4320513052654087,0.34252568563834607
E67,456.0,gas,0.44209901003902285,0.34671729873735957
E67,456.0,gas,0.452146714812637,0.3553404128592953
E67,456.0,gas,0.4621944195862512,0.36131833424884413
E67,456.0,gas,0.47224212435986535,0.36711848155192456
E67,456.0,gas,0.4822898291334795,0.3769667375709661
E67,456.0,gas,0.4923375339070936,0.3819251352839024
E67,456.0,gas,0.5023852386807078,0.38946875374824863
E67,456.0,gas,0.512432943454322,0.3947077346578996
E67,456.0,gas,0.5224806482279362,0.4007798977318411
E67,456.0,gas,0.5325283530015502,0.40883541989095695
E67,456.0,gas,0.5425760577751644,0.4137466967616969
E67,456.0,gas,0.5526237625487785,0.42132886864238567
E67,456.0,gas,0.5626714673223927,0.42461019274442385
E67,456.0,gas,0.5727191720960069,0.4306737883925114
E67,456.0,gas,0.582766876869621,0.4384358762161318
E67,456.0,gas,0.5928145816432352,0.4431458185793053
E67,456.0,gas,0.6028622864168494,0.4498305526017996
E67,456.0,gas,0.6129099911904635,0.4552151797509666
E67,456.0,gas,0.6229576959640777,0.46212695055858877
E67,456.0,gas,0.6330054007376918,0.46769577736361445
E67,456.0,gas,0.643053105511306,0.4699854219230655
E67,456.0,gas,0.6531008102849202,0.47432482311805846
E67,456.0,gas,0.6631485150585343,0.47881415426549456
E67,456.0,gas,0.6731962198321484,0.4861799986433726
E67,456.0,gas,0.6832439246057626,0.4933445085136845
