reference,Re,Nu,eps,NTU,Io
interior probes,23.344629866458074,0.03552056208298995,0.648440614043591,1.0453766319125195,304.0
interior probes,78.75868976123613,0.22388443065330768,0.8263701119196215,1.7508293252131872,256.0
interior probes,55.502129514172104,0.13584604634169944,0.786252153067064,1.542958244044368,256.0
interior probes,44.39410130096231,0.09797105231610197,0.7557040014562353,1.4093746801249347,256.0
interior probes,36.460202757955074,0.07464272004405596,0.7325175690306829,1.3187013934223861,256.0
interior probes,25.188971196810794,0.045565014119225616,0.6914401397415102,1.175839417965046,256.0
front wall only,72.5506737314823,0.13809521414266349,0.7256577917755337,1.29337901673898,456.0
front wall only,58.91721408082491,0.09221051284983912,0.6643214137288808,1.091601165320492,456.0
front wall only,49.63879316185782,0.06729278084391539,0.6199997086011992,0.9675832594230502,456.0
front wall only,42.74609579570762,0.0481851502945566,0.5637767004821135,0.8296010118821012,456.0
front wall only,33.981447210539244,0.031040077675018363,0.5011435414526598,0.6954368828339439,456.0
front wall only,93.9897708010034,0.23939073122667257,0.8077145759369063,1.6487744271640383,304.0
front wall only,65.46249439142161,0.12899166091415887,0.7327305858050007,1.3194980873936601,304.0
front wall only,44.75991718892577,0.06048721776345091,0.6150655214700533,0.9546821448140737,304.0
front wall only,34.884622229371836,0.036884846899249174,0.5394219005156963,0.7752728405238488,304.0
front wall only,23.344629866458074,0.01836208427294515,0.4538511504587439,0.6048637221833945,304.0
front wall only,78.75868976123613,0.24519202061609596,0.8510694536964267,1.904275213900843,256.0
front wall only,55.502129514172104,0.12707316333237467,0.7659995427909019,1.4524322097413098,256.0
front wall only,44.39410130096231,0.08010720105470087,0.6923703856280345,1.1788587703932802,256.0
front wall only,36.460202757955074,0.05570906130139608,0.6397677219102892,1.02100623867906,256.0
front wall only,25.188971196810794,0.028740039959123005,0.5473264111080336,0.7925839675455097,256.0
mid wall only,72.5506737314823,0.11555784916570873,0.6699553823359045,1.1085274286182754,456.0
mid wall only,58.91721408082491,0.08343652015383085,0.6331832954329113,1.002892998287052,456.0
mid wall only,49.63879316185782,0.0653025532426505,0.610755801647611,0.9435483730614713,456.0
mid wall only,42.74609579570762,0.05173456435854875,0.58511903507648,0.8797636314050543,456.0
mid wall only,33.981447210539244,0.037063204868377296,0.5521948319079228,0.8033970338120009,456.0
mid wall only,93.9897708010034,0.17356549949814942,0.7099463209931439,1.2376892731068714,304.0
mid wall only,65.46249439142161,0.10328506801049102,0.6634616066592353,1.0890430402965643,304.0
mid wall only,44.75991718892577,0.05806217824455974,0.6023493894803292,0.9221815222609944,304.0
mid wall only,34.884622229371836,0.03984234983868885,0.5624332767846861,0.8265260746065355,304.0
mid wall only,23.344629866458074,0.023265207451090137,0.5197561583892835,0.7334613007145626,304.0
mid wall only,78.75868976123613,0.14773888663768733,0.6993077462492637,1.2016679500419933,256.0
mid wall only,55.502129514172104,0.0906942285861594,0.6595239631681857,1.0774105322808114,256.0
mid wall only,44.39410130096231,0.06519358611827113,0.6270027430908854,0.9861842134964234,256.0
mid wall only,36.460202757955074,0.04941961522664268,0.6022054452099798,0.921819600966609,256.0
mid wall only,25.188971196810794,0.02985486444915893,0.5587483053314094,0.8181398301333017,256.0
rear wall only,72.5506737314823,0.1766958929293935,0.8001157066342767,1.6100166130203721,456.0
rear wall only,58.91721408082491,0.13892290401561225,0.790430552783779,1.5627001042584885,456.0
rear wall only,49.63879316185782,0.11600925822555808,0.788106040167474,1.5516693189158237,456.0
rear wall only,42.74609579570762,0.09840928900649434,0.7834599275882228,1.5299796566957409,456.0
rear wall only,33.981447210539244,0.07700435520253547,0.7777852203151926,1.5041108887554908,456.0
rear wall only,93.9897708010034,0.24442264746242703,0.8136752245327246,1.6802640232746766,304.0
rear wall only,65.46249439142161,0.16290407193931003,0.8028003337745058,1.623538529383522,304.0
rear wall only,44.75991718892577,0.10659426614005693,0.790231091949385,1.5617487920451818,304.0
rear wall only,34.884622229371836,0.0807793955280399,0.781109722900238,1.519184692526302,304.0
rear wall only,23.344629866458074,0.05253904303678341,0.7707928518201629,1.473129107106769,304.0
rear wall only,78.75868976123613,0.22082487925475983,0.8225070798549452,1.7288245573688878,256.0
rear wall only,55.502129514172104,0.15017142498369931,0.8156602249944526,1.6909746209579548,256.0
rear wall only,44.39410130096231,0.11679336665364815,0.8084528953475894,1.652621523311708,256.0
rear wall only,36.460202757955074,0.09368573710979428,0.8017573147467524,1.618263315726702,256.0
rear wall only,25.188971196810794,0.06179479580636303,0.7865544906337686,1.5443737043399228,256.0
