variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,Qrear_core_sink_W,Qrear_perim_sink_W,active_flow_fraction,flange_scale,cool_core_mult
initial_energy_accounting,E76,68.50000000000001,947.8575600088734,939.6353996385199,962.2444644016153,939.6836325065167,4.41433502353397,192.45792670720215,2.8760805281186346,0.9978666579753644,-2.321362582991792,0.0,4.267663697354982,1.6094559536385975,0.5307104252762833,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,73.98000000000002,924.2942640937958,915.0408214960139,939.6836325065167,915.1049800050965,4.3324684330143794,185.39251465170514,2.6668745115423946,0.9973964614241726,-2.517680439498767,0.0,4.258520859991057,1.8113254436574269,1.1820996893679923,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,79.46000000000002,899.1484798831273,888.6518159500034,915.1049800050965,888.7348115856975,4.263012862970556,178.6918822117759,2.4550822704231945,0.9968625440978952,-2.6878171364520793,0.0,4.249397609802068,2.054681190776053,2.0406706461785076,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,84.94000000000001,872.7294368425306,860.8261790434304,888.7348115856975,860.9305838176323,4.204265320092033,172.3034914663057,2.244970720881665,0.9962590508852891,-2.818694464667592,0.0,4.240293904825094,2.330016476148235,3.064403552180076,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,90.42000000000002,845.4534765809412,832.0330802545153,860.9305838176323,832.1607955859957,4.15472642819388,166.1993029579951,2.040990343026263,0.9955804026046229,-2.8997573266663714,0.0,4.23120970318753,2.6269904495704948,4.210798147319053,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,95.90000000000002,817.8312307027343,802.8276816550051,832.1607955859957,802.9795719165562,4.11301969884796,160.37023374673402,1.8474082552077016,0.9948218841713022,-2.923477717959944,0.0,4.222144963106636,2.9368864450327044,5.439822938002031,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,101.38000000000001,790.4495675478454,773.8214802488163,802.9795719165562,773.996999270451,4.077829058953195,154.82166857880307,1.6679933137972285,0.9939804352207003,-2.8856705732012475,0.0,4.213099642888853,3.2548834972302916,6.717048023822723,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,106.86000000000001,763.9535350643372,745.6510799678742,773.996999270451,745.8479232012944,4.047848906180661,149.56962521253607,1.5058185450310384,0.9930556765042987,-2.7854653668435105,0.0,4.204073700929804,3.582634489521487,8.016656176605354,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,112.34,739.0370086505883,718.9489010141266,745.8479232012944,719.1627170482549,4.021745228110077,144.63741029517377,1.3632338707064928,0.9920511596057082,-2.624888454215977,0.0,4.195067095714293,3.932169037885848,9.324082547868565,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,117.82000000000002,716.4557270582067,694.3185545321074,719.1627170482549,694.5427547637642,3.998130228705558,140.0527026144726,1.242052297919013,0.9909757380023972,-2.40818099751206,0.0,4.186079785816539,4.333265530470693,10.638124360858049,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,123.30000000000003,697.0848192202899,672.3146468220374,694.5427547637642,672.5403774238073,3.9755572779252364,135.84493072110342,1.144006999862277,0.9898448125966586,-2.141183418404491,0.0,4.177111729899483,4.848665027596354,11.972403845161386,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,128.78,682.0602341382728,653.4208728581923,672.5403774238073,653.6372868807102,3.9525495319976147,132.04251049773958,1.0716179909976766,0.9886809816763157,-1.8313746351858033,0.0,4.168162886713437,5.606043721408254,13.355894021295416,0.0,1.0,0.10148436787927062,5.0
initial_energy_accounting,E76,134.26000000000002,673.081638265131,638.0094072497691,653.6372868807102,638.2045484201657,3.9276877270798933,128.6688493377044,1.0298525204289708,0.9875132663544307,-1.4895942318405855,0.0,4.159233215098574,6.8652529837040035,14.831502256556519,0.0,1.0,0.10148436787927062,5.0
