variant,simulation_id,z_mm,Tperim_K,Tcore_K,Tgas_in_K,Tgas_out_K,Nu,h_W_m2K,k_perim_W_m_K,effectiveness,Qgas_W,Qcore_source_W,Qperim_source_W,Qcore_perim_W,Qrear_core_sink_W,Qrear_perim_sink_W,active_flow_fraction,flange_scale,cool_core_mult
fitted_energy_accounting,E70,57.54,1098.0939242123327,1082.4180467685032,1091.4877129029494,1082.5139388198493,6.060857800007985,292.40494827774455,3.1004099668873417,0.9894271685501466,-1.8964049416884494,0.0,6.178094580327503,2.419243588644272,0.0,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,63.02,1086.3573272375668,1070.6163561384285,1082.5139388198493,1070.7623804511134,5.8958701792599175,282.3475361771249,3.002055744946399,0.9877265561757403,-2.479289667650763,0.0,6.165539608999471,2.4292894319363993,0.1514198455273136,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,68.50000000000001,1071.9164841255167,1055.7460064996176,1070.7623804511134,1055.9574051329698,5.754437695212037,272.95368811642896,2.8839219828941443,0.9859221251391973,-3.116719805685683,0.0,6.153010151574826,2.495574774806064,0.6496988021196349,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,73.98000000000002,1054.7205163715444,1037.6886325500207,1055.9574051329698,1037.9809147089609,5.633265040399681,264.0423569390346,2.747342727540198,0.9840009963661696,-3.7740771189026545,0.0,6.140506156203451,2.6285147919407033,1.4689608016439888,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,79.46000000000002,1034.8222298901173,1016.4864085506767,1037.9809147089609,1016.8743870840025,5.529708265274989,255.48947219199405,2.59476425991303,0.9819498745182269,-4.416508212980737,0.0,6.128027571143736,2.8297502565274018,2.5732566598675293,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,84.94000000000001,1012.3978256801173,992.3425962225072,1016.8743870840025,992.8392100090822,5.441553808495414,247.21484842047056,2.4297090418187235,0.9797563174503285,-5.009551240561957,0.0,6.115574344755685,3.095104912497999,3.9189610890289566,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,90.42000000000002,987.7604292701631,965.6197834717963,992.8392100090822,966.2346705538057,5.366867866067204,239.17335680367665,2.256604917567118,0.9774099913101719,-5.5199199020944585,0.0,6.103146425507804,3.4169452771032622,5.45699331888657,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,95.90000000000002,961.3691851904538,936.8336937882362,966.2346705538057,937.5715409025257,5.303888158882328,231.34877746547158,2.0805169160141648,0.974903993150544,-5.9167013611173465,0.0,6.09074376197022,3.7865395721383655,7.1360854116667385,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,101.38000000000001,933.8346617063692,906.6405199777294,937.5715409025257,907.4992784058542,5.250941337325765,223.7492573024999,1.9068240821028115,0.9722363374227849,-6.172885425787441,0.0,6.078366302819838,4.196846604691488,8.906943614857788,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,106.86000000000001,905.922072554575,875.8162160663488,907.4992784058542,876.7853461459166,5.206375148828546,216.4036102777942,1.7408974228011769,0.9694117295486493,-6.267040710581226,0.0,6.06601399683587,4.64620883588596,10.727034704922168,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,112.34,878.557116022846,845.2273780838926,876.7853461459166,846.2863455112198,5.168499140218031,209.35788852127524,1.5878543414442714,0.9664437385434378,-6.184817165630022,0.0,6.053686792903275,5.143747462235133,12.565616939859384,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,117.82000000000002,852.8461327317021,815.7949524365948,846.2863455112198,816.9122373491821,5.135533049457331,202.6718072889209,1.452488531514502,0.9633573674429111,-5.919917822356221,0.0,6.041384640010698,5.718074200428571,14.408560424479825,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,123.30000000000003,830.1342564104467,788.4527619139407,816.9122373491821,789.5856844128559,5.105569614728701,196.414707809898,1.339509093396763,0.9601917294121199,-5.474426916248667,0.0,6.029107487249428,6.432666285323432,16.262469437967773,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,128.78,812.1450533269884,764.1004606674528,789.5856844128559,765.1962743412156,5.076569484791988,190.66065318656675,1.2543001345213614,0.957001999091319,-4.859061708020541,0.0,6.016855283815128,7.414677307671849,18.157525101965465,0.0,1.0,0.10139749224843751,1.0
fitted_energy_accounting,E70,134.26000000000002,801.278965800661,743.5418060090833,765.1962743412156,744.5409657768013,5.046421950689354,185.48171245918817,1.2046250376047118,0.9538589563875207,-4.095159885976398,0.0,6.004627979005767,8.910522179878807,20.147984867427454,0.0,1.0,0.10139749224843751,1.0
