%z[mm]	ϕ=0.1	ϕ=0.3	ϕ=0.5	ϕ=0.7	ϕ=0.9
89.0	714.3524592956213	919.6588654408823	1009.1705664635516	1047.6927600622785	1094.1150187661337
90.0	713.886127013594	917.6349042327073	1006.1803017408465	1044.0891583526288	1089.9755519927921
91.0	713.4231519886159	915.6109430245323	1003.2144454337938	1040.5169438868033	1085.8796803454081
92.0	712.9668914777362	913.5869818163571	1000.2892698194948	1036.944729420978	1081.783808698024
93.0	712.5106309668568	911.5798061181154	997.364094205196	1033.4110346281454	1077.716018796781
94.0	712.0543704559772	909.5970457070493	994.4552932486724	1029.8944596899762	1073.6607096716004
95.0	711.5981099450976	907.6142852959832	991.5956162654752	1026.377884751807	1069.6103567162445
96.0	711.141849434218	905.631524884917	988.7359392822777	1022.927395221112	1065.5937057156932
97.0	710.6931226571786	903.6715814205199	985.8834968883526	1019.484650074105	1061.5770547151415
98.0	710.2443958801391	901.7212450915625	983.0816966193341	1016.0490480552616	1057.5722418490009
99.0	709.7956691030996	899.770908762605	980.2798963503155	1012.679264860209	1053.5765766321772
100.0	709.3469423260601	897.8205724336474	977.4780960812969	1009.3094816651561	1049.5809114153535
101.0	708.8982155490207	895.9100187839308	974.7367672810515	1005.9603812105556	1045.6507135279905
102.0	708.4574333584028	893.9994651342141	971.9954384808059	1002.6593801523554	1041.7205156406276
103.0	708.0206234609957	892.0889114844974	969.2541096805602	999.3583790941552	1037.8161721574386
104.0	707.5838135635886	890.18938534688	966.5678228915169	996.093484133342	1033.9452873149453
105.0	707.1470036661815	888.3160495504982	963.8893992469308	992.8641937963412	1030.0744024724522
106.0	706.7101937687744	886.4427137541162	961.2109756023448	989.6349034593401	1026.2634971401924
107.0	706.2769004457336	884.5693779577342	958.5823641690256	986.4627676552561	1022.4614123241433
108.0	705.8506402714254	882.7163632134618	955.9703568061283	983.3143990826821	1018.6939949074838
109.0	705.4243800971171	880.8773191925146	953.3583494432312	980.166030510108	1015.0045791394505
110.0	704.9981199228089	879.0382751715673	950.7813376468722	977.0763653970853	1011.315163371417
111.0	704.5718597485006	877.19923115062	948.2253231904361	973.9925706300176	1007.671812960127
112.0	704.1455995741924	875.3972420915741	945.669308734	970.9168599920274	1004.0443471546101
113.0	703.736111183307	873.5998849027656	943.1438254066964	967.905317128591	1000.4284376637568
114.0	703.3266227924217	871.8025277139571	940.6488732085253	964.8937742651543	996.865357039936
115.0	702.9171344015364	870.0129427403788	938.1539210103542	961.901128845516	993.3022764161152
116.0	702.5076460106511	868.2575555138122	935.6787361129816	958.949637859038	989.7808896340367
117.0	702.0981576197659	866.5021682872457	933.2364967169397	955.9981468725599	986.2855615030471
118.0	701.6902206156072	864.7467810606792	930.7942573208976	953.0855517442084	982.7959661904257
119.0	701.2830593048122	863.0062178805155	928.3668820736879	950.2092243754615	979.4124280176163
120.0	700.8758979940171	861.2816190580162	925.9840992729747	947.3328970067145	976.0288898448067
121.0	700.468736683222	859.5570202355168	923.6013164722615	944.5092383394287	972.689176513073
122.0	700.0615753724269	857.8324214130175	921.2259516414778	941.706033536788	969.3955945929977
123.0	699.6575684183796	856.1452131759494	918.9025126002005	938.9028287341472	966.1020126729225
124.0	699.2598701778279	854.4686879632901	916.579073558923	936.157574932293	962.8723222180716
125.0	698.8621719372762	852.7921627506307	914.2556345176455	933.417150380504	959.6479560519892
126.0	698.4644736967244	851.1178352254651	911.9901381925656	930.6850614368731	956.4528035583277
127.0	698.0667754561726	849.4709787939709	909.7246418674856	928.0108586610052	953.3098183368461
128.0	697.669077215621	847.8241223624765	907.4591455424056	925.3366558851371	950.1668331153645
129.0	697.2857515290991	846.1772659309821	905.2422325701164	922.6838791389239	947.1056736577976
130.0	696.902425842577	844.5437031902375	903.0322600767969	920.0748661979628	944.0656305264022
131.0	696.5191001560551	842.9327397237671	900.8222875834775	917.4658532570018	941.0394103799173
132.0	696.1357744695331	841.3217762572966	898.6510589028426	914.8873424447369	938.0592668498008
133.0	695.7524487830111	839.7108127908261	896.4927448264359	912.3357216669805	935.0791233196843
134.0	695.3774786738933	838.1244104124925	894.334430750029	909.784100889224	932.1270038186602
135.0	695.0066863534777	836.5502885782271	892.2079632789965	907.273276269672	929.1888963321821
136.0	694.6358940330618	834.9761667439617	890.1006037711887	904.7772159740415	926.2569227910798
137.0	694.2651017126461	833.4020449096964	887.9932442633808	902.2811556784109	923.3786212720157
138.0	693.8943093922304	831.8553689815586	885.9100978436883	899.8336383006449	920.5003197529513
139.0	693.525770947477	830.309748665195	883.8511645121112	897.3893812681083	917.6755465477178
140.0	693.1617402540478	828.7641283488313	881.7922311805338	894.9542294706171	914.8966547543389
141.0	692.7977095606185	827.2312668730842	879.7538249913924	892.5750748686539	912.1177629609601
142.0	692.4336788671893	825.7348592276703	877.7496307063105	890.1959202666905	909.4270463373805
143.0	692.0696481737602	824.2384515822562	875.7454364212288	887.837223498624	906.738650113006
144.0	691.705617480331	822.742043936842	873.7533932035178	885.5177723710943	904.0761859802748
145.0	691.3537083846403	821.2589990931052	871.7978031879193	883.1983212435646	901.4509992292806
146.0	691.0017992889498	819.78664449071	869.8422131723207	880.9105643652564	898.8258124782863
147.0	690.6498901932591	818.3142898883148	867.8938955896366	878.6492193612993	896.2479646251098
148.0	690.2979810975685	816.8419352859196	865.9964850373541	876.3878743573421	893.6787238442639
149.0	689.946072001878	815.4016000013323	864.0990744850714	874.1688506436509	891.1340023835447
150.0	689.5975875121757	813.9668332937553	862.2016639327888	871.9640658687404	888.6516937376936
151.0	689.2508153254674	812.532066586178	860.3393016525345	869.7592810938299	886.1693850918422
152.0	688.9040431387591	811.1009306378961	858.4769393722798	867.6096462465304	883.7344147799325
153.0	688.5572709520509	809.6906715555629	856.6145770920252	865.4628499984459	881.3180416706426
154.0	688.2104987653427	808.2804124732293	854.7948070539983	863.3239433091782	878.9109372293779
155.0	687.8666782836335	806.8701533908959	852.9811216220036	861.2284291934013	876.5548104622508
156.0	687.5287612119226	805.4788607367879	851.167436190009	859.1329150776244	874.1986836951235
157.0	687.1908441402119	804.1112761179614	849.3914317488858	857.0580825434836	871.8750319682913
158.0	686.852927068501	802.743691499135	847.6279876380529	855.0205579605291	869.573971573838
159.0	686.5150099967902	801.3761068803086	845.8645435272199	852.9830333775745	867.2743374086916
160.0	686.1770929250794	800.0294351616717	844.1288589499038	850.9737574213264	865.0288999572123
161.0	685.8543610751001	798.6900829581011	842.4098300926976	848.9867272586092	862.7834625057328
162.0	685.5316292251207	797.3507307545306	840.6908012354912	846.999697095892	860.5734129926902
163.0	685.2088973751413	796.0127474952635	838.9934986536384	845.0552864758045	858.4046494078241
164.0	684.8861655251619	794.7103567878862	837.3179223471393	843.1241700249777	856.2358858229578
165.0	684.5634336751825	793.4079660805088	835.6423460406401	841.193053574151	854.1324506591901
166.0	684.2471901489761	792.1055753731313	833.9826576571904	839.3119731755214	852.0364816006904
167.0	683.9341907846562	790.8109535394481	832.3494491454904	837.4327056773336	849.9568653527555
168.0	683.6211914203363	789.5318694531531	830.7162406337902	835.5619875608224	847.9099547259493
169.0	683.3081920560165	788.252785366858	829.0939067004148	833.7336601284577	845.863044099143
170.0	682.9951926916966	786.973701280563	827.5041965020137	831.9053326960928	843.8509206319853
171.0	682.6858645083926	785.7178638076476	825.9144863036124	830.096473658461	841.8492333127218
172.0	682.3838786871202	784.4757008131909	824.3299015201505	828.3206741590552	839.8586719257177
173.0	682.0818928658477	783.233537818734	822.7811946412639	826.5448746596494	837.911223526218
174.0	681.7799070445753	781.9913748242772	821.2324877623772	824.7975371641479	835.9637751267181
175.0	681.4779212233029	780.7800753975041	819.6837808834905	823.0713726227701	834.065369863785
176.0	681.1759354020305	779.5712450561455	818.1746430959872	821.3452080813922	832.194428757329
177.0	680.8786392131865	778.3624147147868	816.6655053084837	819.6563107274386	830.3283666853208
178.0	680.5813430243425	777.1603980471189	815.1563675209803	817.9781570671563	828.5208530266871
179.0	680.2840468354984	775.9822292373681	813.681989529659	816.3000034068742	826.7133393680531
180.0	679.9867506466544	774.8040604276172	812.2125772235065	814.668289750448	824.9261732692535
181.0	679.6894544578104	773.6258916178663	810.7431649173541	813.0375712369612	823.1583373522963
182.0	679.4015559670768	772.4623898592928	809.3003757044539	811.4137150903987	821.3905014353389
183.0	679.1183563253984	771.3125075053839	807.866460855971	809.8207395949943	819.6546944208077
184.0	678.83515668372	770.162625151475	806.4325460074882	808.2277640995898	817.9206186982994
185.0	678.5519570420417	769.0127427975661	805.0204883813693	806.6496874842946	816.2014725677287
186.0	678.2687574003635	767.8865660246603	803.6215450886687	805.0954490771744	814.506213784258
187.0	677.9876977246417	766.7657768838005	802.2226017959679	803.5412106700539	812.8109550007872
188.0	677.7109179808333	765.6449877429407	800.8408886564789	802.0122728615459	811.1618415969531
189.0	677.4341382370249	764.5276305853897	799.4764056702015	800.5011057115869	809.5228224949144
190.0	677.1573584932165	763.4377292943099	798.1119226839243	798.9899385616279	807.8982728220263
191.0	676.8805787494081	762.3478280032298	796.7612411447499	797.5125236354882	806.3156844936749
