f_side,simulation_id,flow_lpm,irradiance,T8_model,T8_experiment,T12_side_model,T12_side_experiment,T11_side_model,T11_side_experiment,T9_core_model,T9_core_experiment,T10_core_model,T10_core_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T12_minus_T9_model,T12_minus_T9_experiment,T11_minus_T10_model,T11_minus_T10_experiment,mean_nu,mean_effectiveness,receiver_gas_heat,receiver_to_cavity_heat,core_side_heat,flange_heat_loss
0.02,E70,9.107139705882352,456000.0,1107.4806288237726,1152.474,1029.4108582460365,1120.277,907.9660884887438,912.173,1042.4835678421296,1093.725,920.1717057383781,871.483,829.6380720469042,779.518,343.19629730006466,352.421,-13.072709596093091,26.552000000000135,-12.205617249634315,40.690000000000055,7.021951106157755,0.9919853101478893,101.47062269221954,53.51851211452887,88.1931654171563,44.38965022806086
0.02,E71,7.126846153846151,456000.0,1207.3522136675213,1203.298,1103.152220545054,1120.348,951.1299308469514,882.823,1117.4003989920711,1095.306,963.7314610409269,847.476,861.5533972211878,753.56,349.5849885755703,356.00399999999996,-14.248178447017153,25.041999999999916,-12.601530193975464,35.34699999999998,3.430959419125865,0.9562339428991612,85.02142615692895,58.50448768047192,103.49228400898386,45.56454994499557
0.02,E72,18.707575757575754,304000.0,652.8002259564179,737.656,628.3052564994549,797.899,588.44186698668,733.977,634.5867430267454,771.112,595.3854446674309,684.1869999999999,555.9766227689993,652.9549999999999,309.09528158984784,309.928,-6.28148652729044,26.787000000000035,-6.943577680750877,49.79000000000008,86.72735742668976,0.9999999998292707,96.89748610409897,25.209484318449668,33.93397639991874,21.572403412604935
0.02,E73,13.170870967741934,304000.0,759.7458797126437,837.694,719.9745694999372,894.482,659.7459983308131,791.76,727.7075321906057,867.5509999999999,667.5647916995467,747.4,617.3489483964413,694.626,321.4508813138083,325.12,-7.732962690668501,26.93100000000004,-7.818793368733623,44.360000000000014,30.686203944898445,0.9999935747416732,86.43668423561176,31.315322218194556,43.37742481178658,27.356278841716538
0.02,E74,9.023245901639344,304000.0,892.4783132110229,948.538,824.5358695820648,962.509,731.5940786074312,804.0,834.0781365801843,935.491,740.3606140213215,767.8009999999999,675.1550416158401,697.672,327.55799646912004,333.964,-9.54226699811943,27.01800000000003,-8.76653541389021,36.19900000000007,9.627173821507407,0.9972817403830618,70.27322328130197,38.81541459012794,57.601917321845626,31.690805772340457
0.02,E75,6.944410852713178,304000.0,981.8839527249811,1008.725,888.5743956926893,979.689,769.3931261107192,788.678,899.1456473606418,954.178,778.554116548866,757.393,702.9878526026172,681.066,331.8864487027613,336.517,-10.571251667952424,25.510999999999967,-9.160990438146769,31.284999999999968,4.464440175463842,0.9754553463247138,58.39053924188001,43.30324908276676,68.19200020720928,33.0355476432135
0.02,E76,4.526673611111114,304000.0,1103.632975871006,1067.693,964.5914131750036,970.472,807.0019641415829,751.1579999999999,976.1443843262898,947.353,816.2319550390224,726.308,730.5407793417303,647.019,337.6169526944277,338.123,-11.552971151286215,23.119000000000028,-9.229990897439507,24.84999999999991,1.3536303690364182,0.8354670867010406,41.819800064180136,48.63953538553057,83.89534186861246,33.24165392257325
0.02,E77,13.84748387096774,256000.0,516.9275320476794,565.544,495.9355515529893,623.3499999999999,466.42216834529233,574.299,499.6384376683403,602.429,470.17959879086305,543.727,447.1399381552294,525.356,309.2313826641812,308.37,-3.7028861153510206,20.920999999999935,-3.7574304455707193,30.572000000000003,62.807252355582015,0.9999999916754141,42.09925011825738,14.675601825395265,19.377835171752025,12.392206677376535
0.02,E78,10.009137614678897,256000.0,578.0385053218846,631.689,544.3800585192769,685.819,502.6337440980918,612.092,548.8962050990283,663.635,506.817502140656,583.704,478.8927000088973,554.4549999999999,310.57484857650473,312.95899999999995,-4.516146579751421,22.18399999999997,-4.183758042564193,28.388000000000034,23.728932142464068,0.9999676726450469,36.71862038464288,18.373023240985706,24.19998449498716,15.481517732176385
0.02,E79,8.033490566037736,256000.0,620.6446331808477,676.213,575.3069779093947,716.108,522.5646479714306,622.325,580.3294822968958,694.063,527.00896499323,595.766,494.3420416474405,560.0329999999999,313.0211419539221,314.96,-5.022504387501044,22.04499999999996,-4.444317021799407,26.559000000000083,12.504560440458306,0.999106930297708,32.26277615378368,20.555661538658093,27.69585983865597,16.493952860163024
0.02,E80,6.605050847457628,256000.0,659.4012307469449,710.3340000000001,601.9750458723236,735.351,539.2276742847653,626.4849999999999,607.4268973345045,713.233,543.8614515001996,601.77,507.49482986663895,561.2539999999999,313.4730171446818,316.11899999999997,-5.451851462180912,22.118000000000052,-4.633777215434293,24.714999999999918,7.08878212493134,0.9931675059052896,28.304605214307905,22.59704340751525,31.027412868814608,17.36275373391765
0.02,E81,4.527140495867768,256000.0,731.0114969607729,760.0609999999999,647.5227877299761,749.902,565.2670864080704,618.9749999999999,653.5822263535312,728.5039999999999,570.0966440713594,597.766,527.2122895995096,550.499,318.02288227303353,319.315,-6.059438623555025,21.39800000000014,-4.829557663288938,21.208999999999946,2.433582867244042,0.9270785344739452,21.19617941670865,25.790352474727698,36.99453905549471,18.214950916527997
0.05,E67,15.2805125,456000.0,881.5468136368087,931.6279999999999,837.3910917072957,991.103,768.5986402106773,878.055,847.3413454169629,966.6659999999999,779.2851802278002,824.995,712.0664844665835,763.414,321.3909875449105,326.43699999999995,-9.950253709667209,24.437000000000012,-10.686540017122866,53.059999999999945,35.53640750778965,0.9999976320466297,131.33394490971335,40.678385830159726,53.14414392685149,35.12319125096894
0.05,E68,12.499871559633025,456000.0,970.1461061905002,1012.649,914.0603792348006,1047.717,828.1081824876152,898.751,925.2168857204636,1020.928,839.3910179148633,850.0989999999999,764.654536742244,773.207,332.26439576143696,338.52,-11.15650648566293,26.7890000000001,-11.282835427248074,48.652000000000044,18.679798110851618,0.9998420886676854,121.00206248504564,45.73310552798692,63.42590298622843,39.90200252682617
0.05,E69,10.499733944954128,456000.0,1045.9257101960065,1058.429,976.6230456301505,1070.73,871.5965351395447,896.755,988.7692815362,1044.378,883.3708528738059,852.837,799.0859218985238,769.76,342.37819341102124,344.308,-12.14623590604947,26.35200000000009,-11.774317734261217,43.918000000000006,10.937721041984837,0.9981936149509788,110.27199842499438,49.63360494607931,73.22883977807987,42.272194168512705
0.05,E70,9.107139705882352,456000.0,1107.642846879414,1152.474,1025.4267773393258,1120.277,904.5507990419333,912.173,1038.4236528004728,1093.725,916.6869165496976,871.483,826.6648049989111,779.518,343.0052403638421,352.421,-12.996875461147056,26.552000000000135,-12.136117507764311,40.690000000000055,7.066856349177977,0.9921414322233747,100.85226989303256,53.30451256899204,82.34246906869998,44.15310206808316
0.05,E71,7.126846153846151,456000.0,1206.2827541564623,1203.298,1098.278325566854,1120.348,947.0596228729386,882.823,1112.435536074908,1095.306,959.5810537754653,847.476,858.034955728224,753.56,349.3370640342415,356.00399999999996,-14.15721050805405,25.041999999999916,-12.521430902526731,35.34699999999998,3.456077973839528,0.9568607270504457,84.42678314097607,58.22397159131613,97.63838179585291,45.29958486531226
0.05,E72,18.707575757575754,304000.0,655.7182449585741,737.656,627.5854123668455,797.899,587.7976523387866,733.977,633.8455406404739,771.112,594.7251644281307,684.1869999999999,555.4143710870001,652.9549999999999,309.0973491671703,309.928,-6.260128273628425,26.787000000000035,-6.927512089344077,49.79000000000008,86.91832524111868,0.9999999998349135,96.68789298354973,25.21840040409532,29.657225819779715,21.525166600180828
0.05,E73,13.170870967741934,304000.0,761.9389681636986,837.694,718.7613032659872,894.482,658.6944358013502,791.76,726.4662489466261,867.5509999999999,666.4891755120382,747.4,616.4399794994541,694.626,321.42571796019513,325.12,-7.704945680638957,26.93100000000004,-7.7947397106879635,44.360000000000014,30.775770380600985,0.9999937190818992,86.18790016301293,31.285724181837107,39.15308725836562,27.28026628084879
0.05,E74,9.023245901639344,304000.0,893.5467381994529,948.538,822.5204987109124,962.509,729.9186475243889,804.0,832.0217864553694,935.491,738.6495921031865,767.8009999999999,673.7287951928149,697.672,327.4817412913187,333.964,-9.501287744456931,27.01800000000003,-8.730944578797562,36.19900000000007,9.665454618120144,0.9973225395190345,69.99829187535939,38.72523645913677,53.424706567577154,31.57633646045289
0.05,E75,6.944410852713178,304000.0,982.0972546936705,1008.725,885.9504218739016,979.689,767.2843138243934,788.678,896.4704616171455,954.178,776.4021036231568,757.393,701.2185467864975,681.066,331.77509290805654,336.517,-10.520039743243842,25.510999999999967,-9.117789798763397,31.284999999999968,4.485479831713925,0.9757295587897343,58.12003595477721,43.1677964338971,64.02680960589764,32.90062344341046
0.05,E76,4.526673611111114,304000.0,1102.6184636318494,1067.693,961.149053672725,970.472,804.363982275794,751.1579999999999,972.6380550450277,947.353,813.543555898208,726.308,728.3436466604758,647.019,337.4535417727517,338.123,-11.48900137230271,23.119000000000028,-9.179573622413955,24.84999999999991,1.3612595416513447,0.8365342433321226,41.57912728168112,48.443689708456525,79.71719116869747,33.090764924201245
0.05,E77,13.84748387096774,256000.0,518.4386135825264,565.544,495.6560200156337,623.3499999999999,466.1822711681326,574.299,499.3479199794447,602.429,469.9339031113092,543.727,446.93134359787206,525.356,309.2349839270161,308.37,-3.691899963811011,20.920999999999935,-3.7516319431765623,30.572000000000003,62.88369402672302,0.9999999918031202,42.041340373551215,14.685332124103235,17.269644784314483,12.374998814417376
0.05,E78,10.009137614678897,256000.0,579.3304430156659,631.689,543.9618499355634,685.819,502.28776291436685,612.092,548.4657018102287,663.635,506.46393812736994,583.704,478.5930970812471,554.4549999999999,310.5715835330281,312.95899999999995,-4.503851874665315,22.18399999999997,-4.176175213003091,28.388000000000034,23.764193201231738,0.999967992749405,36.65828862677177,18.371934119999594,22.097253786720202,15.456407318489525
