% Model:              Cav_Hex_Unif_flux_v5.1.2 - Wall Distn.mph
% Version:            COMSOL 5.5.0.359
% Date:               Nov 29 2021, 10:19
% Table:              Evaluation Group 1 - 
% R_channel (mm)         emis_x                   Q_abs (W)                Q_BHS (W)                T_g_in (K)               T_g_out (K)              Q_rad_loss (W)           Q_rad_loss_int (W)       Q_rad_loss_front (W)     Q_abs_out (W)            Q_abs_in (W)             BHS_front (W)            BHS_interior (W)         BHS_int(x-walls) (W)     BHS_int(y-walls) (W)
2                        0.1                      11.767502401227471       13.340773288402985       360.59705685001137       809.4339428026557        1.407885119028339        0.7678912702904841       0.6399938487378559       11.91844880442847        -0.5736773645002959      3.9129065809379675       9.427866707465018        0.7129479897572335       8.714918717707784
2                        0.3                      11.805691147082102       13.449835095366346       360.74449334458683       810.8671624716974        1.5750369903248456       0.928543016298645        0.6464939740262043       11.951534510763397       -0.5736773684434877      3.9129065809379675       9.536928514428379        1.882612494730275        7.654316019698103
2                        0.5                      11.835388171468772       13.543211544360492       360.86093319452397       811.982615288535         1.7422869108622336       1.0906195319527812       0.6516673789094535       11.977284570499986       -0.5736773720337704      3.9129065809379675       9.630304963422525        2.801160262652681        6.829144700769844
2                        0.7                      11.85929601350431        13.624824591952361       360.95531237851526       812.8808092977586        1.9096547886579232       1.2537673883858031       0.6558874002721252       11.998019216528812       -0.5736773753005331      3.9129065809379675       9.711918011014394        3.5410914724738096       6.1708265385405845
2                        0.9                      11.878984280422321       13.697052199014912       361.03231933095185       813.619687913963         2.0770108031935646       1.417661194275847        0.6593496089177144       12.015076074480978       -0.5736773782785979      3.9129065809379675       9.784145618076945        4.149661683508177        5.634483934568767
4                        0.1                      35.27408119085358        45.00854882736457        358.10843360744263       763.951023785012         6.850253098475897        4.962850030452197        1.8874030680237135       36.456259142188735       -1.9242792391203452      7.428423956572028        37.580124870792545       2.939895864836453        34.640229005956094
4                        0.3                      35.360792374793355       45.45289688640096        358.15758201123055       764.896871625201         7.846916497934377        5.952434171608207        1.8944823263261719       36.52950033809516        -1.924279239791304       7.428423956572028        38.02447292982893        7.754037283344491        30.27043564648444
4                        0.5                      35.417861038706135       45.82365404413308        358.17475064839977       765.5067868187303        8.840214091762496        6.94320416310574         1.8970099286567685       36.57672864357357        -1.9242792404203117      7.428423956572028        38.39523008756105        11.537422065634887       26.857808021926168
4                        0.7                      35.45719553893009        46.14034207496065        358.1742267978471        765.9169931412177        9.830047901103619        7.933038385783839        1.897009515319777        36.60849253650507        -1.9242792409977285      7.428423956572028        38.711918118388624       14.59657331367253        24.115344804716095
4                        0.9                      35.485679046706814       46.41614502728838        358.163571549717         766.2056065018373        10.816627078745043       8.92106746451617         1.895559614228895        36.63084091388283        -1.9242792415077894      7.428423956572028        38.987721070716354       17.127539349814224       21.86018172090213
8                        0.1                      97.27064464184083        136.0638757237989        348.35060012703366       663.1318006811458        23.139647987306084       20.03939117999671        3.100256807309371        104.79866702337924       -7.038931526233201       8.585180653199274        127.47869507059963       10.435241054001715       117.0434540165979
8                        0.3                      97.87178169950623        137.86657723854697       348.5140517565532        665.0652628305168        27.088671765054894       23.938859310825116       3.1498124542297714       105.34633315946857       -7.038931525763413       8.585180653199274        129.2813965853477        27.573703701383344       101.70769288396434
8                        0.5                      98.24711880751816        139.36035733554266       348.6060857783199        666.2630584355469        31.096743207135113       27.918638005752825       3.178105201382286        105.68561689863128       -7.038931525295458       8.585180653199274        130.77517668234339       41.09084281074862        89.68433387159477
8                        0.7                      98.5019707872501         140.62825610505328       348.6613356060288        667.0698170421258        35.133436452663275       31.938192248917296       3.195244203745932        105.91413673195844       -7.038931525192195       8.585180653199274        132.043075451854         52.046796300503516       79.99627915135049
8                        0.9                      98.68478548941518        141.7232123349642        348.69559322267264       667.6437802349182        39.184765583739626       35.97882058061615        3.20594500312346         106.0767156577223        -7.03893152522189        8.585180653199274        133.13803168176491       61.119230810295534       72.01880087146937
